uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
75259c,0.04755570754776655,0.19778773915139453,"[0.18181818181818182, 0.45454545454545453, 0.36363636363636365]","[0.36, 0.47, 0.17]","[2.0, 5.0, 4.0]","[36, 47, 17]"
117089n,0.039204530092013766,0.15608757282959257,"[0.5384615384615384, 0.46153846153846156, 0.0]","[0.32, 0.67, 0.01]","[7.0, 6.0, 0.0]","[32, 67, 1]"
107252c,0.21198628846241024,1.0658532801264715,"[0.3, 0.3, 0.4]","[0.03, 0.8, 0.17]","[3.0, 3.0, 4.0]","[3, 80, 17]"
141321n,0.049138023435767196,0.22710477912678467,"[0.3333333333333333, 0.16666666666666666, 0.5]","[0.12, 0.25, 0.63]","[2.0, 1.0, 3.0]","[12, 25, 63]"
52854n,0.22175956436892794,14.00319103780217,"[0.375, 0.25, 0.375]","[0.53, 0.47, 0.0]","[3.0, 2.0, 3.0]","[53, 47, 0]"
10724n,0.26997668910565514,1.2163379480453322,"[0.3, 0.2, 0.5]","[0.04, 0.78, 0.18]","[3.0, 2.0, 5.0]","[4, 78, 18]"
134514c,0.1401941690621625,0.6223514049121297,"[0.25, 0.375, 0.375]","[0.07, 0.13, 0.8]","[2.0, 3.0, 3.0]","[7, 13, 80]"
100349e,0.20618783980969374,1.6960714914470998,"[0.4, 0.2, 0.4]","[0.64, 0.35, 0.01]","[4.0, 2.0, 4.0]","[64, 35, 1]"
129601e,0.1931146777198253,6.020125573523364,"[0.46153846153846156, 0.38461538461538464, 0.15384615384615385]","[0.9, 0.1, 0.0]","[6.0, 5.0, 2.0]","[90, 10, 0]"
109679n,0.42901087007755717,13.283080335596178,"[0.16666666666666666, 0.5, 0.3333333333333333]","[0.86, 0.14, 0.0]","[1.0, 3.0, 2.0]","[86, 14, 0]"
61429c,0.07250140474820704,0.445751287364489,"[0.2, 0.4, 0.4]","[0.02, 0.41, 0.57]","[3.0, 6.0, 6.0]","[2, 41, 57]"
43891n,0.1160915302825974,6.63065354356379,"[0.18181818181818182, 0.5454545454545454, 0.2727272727272727]","[0.0, 0.5, 0.5]","[2.0, 6.0, 3.0]","[0, 50, 50]"
115821n,0.38078371318879733,2.1245379350693745,"[0.3888888888888889, 0.05555555555555555, 0.5555555555555556]","[0.41, 0.56, 0.03]","[7.0, 1.0, 10.0]","[41, 56, 3]"
12815n,0.38735233615684356,20.400996357160565,"[0.4, 0.06666666666666667, 0.5333333333333333]","[0.56, 0.44, 0.0]","[6.0, 1.0, 8.0]","[56, 44, 0]"
41975c,0.5152358591601729,1.9183392482665922,"[0.7142857142857143, 0.0, 0.2857142857142857]","[0.14, 0.7, 0.16]","[5.0, 0.0, 2.0]","[14, 70, 16]"
86331e,0.4287721339040207,12.164830510534932,"[0.2, 0.5, 0.3]","[0.9, 0.1, 0.0]","[2.0, 5.0, 3.0]","[90, 10, 0]"
60732n,0.1605784208390088,1.103746550990198,"[0.5, 0.14285714285714285, 0.35714285714285715]","[0.7, 0.28, 0.02]","[7.0, 2.0, 5.0]","[70, 28, 2]"
124037n,0.3260546111128089,1.5708118032716567,"[0.1111111111111111, 0.4444444444444444, 0.4444444444444444]","[0.69, 0.27, 0.04]","[1.0, 4.0, 4.0]","[69, 27, 4]"
137319n,0.12253691000850082,0.4689955935422214,"[0.9, 0.0, 0.1]","[0.81, 0.18, 0.01]","[9.0, 0.0, 1.0]","[81, 18, 1]"
101525c,0.28422114694874695,16.18766848229738,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.0, 0.72, 0.28]","[3.0, 2.0, 2.0]","[0, 72, 28]"
130869n,0.16913329806490596,1.1807841793287022,"[0.5, 0.125, 0.375]","[0.77, 0.21, 0.02]","[4.0, 1.0, 3.0]","[77, 21, 2]"
61216c,0.06707439983843518,0.27417529608710145,"[0.25, 0.4166666666666667, 0.3333333333333333]","[0.17, 0.2, 0.63]","[3.0, 5.0, 4.0]","[17, 20, 63]"
32754e,0.23795955447349382,1.6373407612923039,"[0.36363636363636365, 0.18181818181818182, 0.45454545454545453]","[0.8, 0.18, 0.02]","[4.0, 2.0, 5.0]","[80, 18, 2]"
88605n,0.20885332500406972,1.342634050517213,"[0.36363636363636365, 0.18181818181818182, 0.45454545454545453]","[0.56, 0.41, 0.03]","[4.0, 2.0, 5.0]","[56, 41, 3]"
112402c,0.11053390555767344,0.4227962965848582,"[0.1111111111111111, 0.5555555555555556, 0.3333333333333333]","[0.43, 0.44, 0.13]","[1.0, 5.0, 3.0]","[43, 44, 13]"
138285n,0.15134117275830086,0.8430915000678952,"[0.36363636363636365, 0.45454545454545453, 0.18181818181818182]","[0.77, 0.22, 0.01]","[4.0, 5.0, 2.0]","[77, 22, 1]"
134655c,0.12633996899069122,0.5487919651000899,"[0.18181818181818182, 0.45454545454545453, 0.36363636363636365]","[0.08, 0.15, 0.77]","[2.0, 5.0, 4.0]","[8, 15, 77]"
1073c,0.2556792221568615,1.259698237996132,"[0.36363636363636365, 0.2727272727272727, 0.36363636363636365]","[0.04, 0.83, 0.13]","[4.0, 3.0, 4.0]","[4, 83, 13]"
95186n,0.20995714662245107,1.708245695345098,"[0.3, 0.3, 0.4]","[0.58, 0.41, 0.01]","[3.0, 3.0, 4.0]","[58, 41, 1]"
105179c,0.38012378486749354,1.6109329506493633,"[0.5555555555555556, 0.0, 0.4444444444444444]","[0.07, 0.45, 0.48]","[5.0, 0.0, 4.0]","[7, 45, 48]"
91709c,0.11971745482540226,0.5280887937462313,"[0.5714285714285714, 0.21428571428571427, 0.21428571428571427]","[0.19, 0.49, 0.32]","[8.0, 3.0, 3.0]","[19, 49, 32]"
32754n,0.14098635732030204,0.4300417711216832,"[0.8, 0.0, 0.2]","[0.64, 0.25, 0.11]","[4.0, 0.0, 1.0]","[64, 25, 11]"
133005n,0.0754189857111374,0.3785688227784858,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.08, 0.49, 0.43]","[0.0, 0.0, 0.0]","[8, 49, 43]"
26495e,0.14716598929197905,0.6064528486176897,"[0.26666666666666666, 0.4, 0.3333333333333333]","[0.71, 0.15, 0.14]","[4.0, 6.0, 5.0]","[71, 15, 14]"
14459n,0.03458801945625468,0.17149132302951287,"[0.3684210526315789, 0.47368421052631576, 0.15789473684210525]","[0.34, 0.62, 0.04]","[7.0, 9.0, 3.0]","[34, 62, 4]"
12562n,0.15631909708480085,0.8001072348666671,"[0.2727272727272727, 0.36363636363636365, 0.36363636363636365]","[0.65, 0.3, 0.05]","[3.0, 4.0, 4.0]","[65, 30, 5]"
23583e,0.0010026591397381812,0.0041083129171953295,"[0.16666666666666666, 0.3333333333333333, 0.5]","[0.14, 0.34, 0.52]","[2.0, 4.0, 6.0]","[14, 34, 52]"
17753n,0.1669767650681629,7.497032522825069,"[0.5, 0.3, 0.2]","[0.88, 0.12, 0.0]","[5.0, 3.0, 2.0]","[88, 12, 0]"
76947n,0.01690788008406996,0.06663012266499915,"[0.21428571428571427, 0.5714285714285714, 0.21428571428571427]","[0.34, 0.52, 0.14]","[3.0, 8.0, 3.0]","[34, 52, 14]"
82830n,0.09376048897213932,0.3711023003681233,"[0.25, 0.3333333333333333, 0.4166666666666667]","[0.6, 0.2, 0.2]","[3.0, 4.0, 5.0]","[60, 20, 20]"
129185n,0.12761572550751035,0.8667700233884968,"[0.38461538461538464, 0.3076923076923077, 0.3076923076923077]","[0.56, 0.42, 0.02]","[5.0, 4.0, 4.0]","[56, 42, 2]"
98561e,0.34766590806357445,19.050326140190283,"[0.3, 0.2, 0.5]","[0.84, 0.16, 0.0]","[3.0, 2.0, 5.0]","[84, 16, 0]"
16989c,0.17141193802393165,0.679850685557172,"[0.35714285714285715, 0.07142857142857142, 0.5714285714285714]","[0.39, 0.42, 0.19]","[5.0, 1.0, 8.0]","[39, 42, 19]"
133597n,0.055609210096754444,0.224809367912028,"[0.4, 0.26666666666666666, 0.3333333333333333]","[0.32, 0.52, 0.16]","[6.0, 4.0, 5.0]","[32, 52, 16]"
58954c,0.1292060218076836,0.8035221031800271,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.03, 0.43, 0.54]","[5.0, 5.0, 5.0]","[3, 43, 54]"
17660e,0.17797682228004788,1.2485920066614205,"[0.3888888888888889, 0.2222222222222222, 0.3888888888888889]","[0.62, 0.36, 0.02]","[7.0, 4.0, 7.0]","[62, 36, 2]"
16086n,0.26158072532514065,0.9238705264396448,"[0.4, 0.6, 0.0]","[0.1, 0.52, 0.38]","[2.0, 3.0, 0.0]","[10, 52, 38]"
7856c,0.11537184621325045,0.5702714840443708,"[0.3888888888888889, 0.3333333333333333, 0.2777777777777778]","[0.08, 0.64, 0.28]","[7.0, 6.0, 5.0]","[8, 64, 28]"
28601n,0.20169084780985516,1.1564279404028543,"[0.3076923076923077, 0.46153846153846156, 0.23076923076923078]","[0.78, 0.21, 0.01]","[4.0, 6.0, 3.0]","[78, 21, 1]"
56163c,0.11974429829118109,0.7875266424855921,"[0.2857142857142857, 0.21428571428571427, 0.5]","[0.02, 0.38, 0.6]","[4.0, 3.0, 7.0]","[2, 38, 60]"
46059c,0.048769297605575676,0.22585070448917685,"[0.2222222222222222, 0.3333333333333333, 0.4444444444444444]","[0.27, 0.12, 0.61]","[2.0, 3.0, 4.0]","[27, 12, 61]"
45774c,0.36383358798103654,1.9310786834006155,"[0.6666666666666666, 0.1111111111111111, 0.2222222222222222]","[0.06, 0.63, 0.31]","[6.0, 1.0, 2.0]","[6, 63, 31]"
67610c,0.02957622858912623,0.12465229051137464,"[0.5, 0.25, 0.25]","[0.48, 0.12, 0.4]","[6.0, 3.0, 3.0]","[48, 12, 40]"
103559e,0.04767087933195237,0.1938041267351667,"[0.38461538461538464, 0.38461538461538464, 0.23076923076923078]","[0.64, 0.23, 0.13]","[5.0, 5.0, 3.0]","[64, 23, 13]"
46003n,0.4463583902883912,3.22949581249127,"[0.4, 0.0, 0.6]","[0.69, 0.3, 0.01]","[6.0, 0.0, 9.0]","[69, 30, 1]"
114458e,0.19033152812449508,1.2188777523419048,"[0.35714285714285715, 0.21428571428571427, 0.42857142857142855]","[0.68, 0.29, 0.03]","[5.0, 3.0, 6.0]","[68, 29, 3]"
79507e,0.17573813336525584,10.582112831881219,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.75, 0.25, 0.0]","[9.0, 6.0, 6.0]","[75, 25, 0]"
18428n,0.0979697427515305,0.4301997676716351,"[0.5, 0.5, 0.0]","[0.81, 0.17, 0.02]","[3.0, 3.0, 0.0]","[81, 17, 2]"
31249e,0.24229679973062127,1.1407035064526967,"[0.3076923076923077, 0.38461538461538464, 0.3076923076923077]","[0.86, 0.08, 0.06]","[4.0, 5.0, 4.0]","[86, 8, 6]"
102563n,0.046072028926754605,0.175697933860245,"[0.35714285714285715, 0.21428571428571427, 0.42857142857142855]","[0.24, 0.45, 0.31]","[5.0, 3.0, 6.0]","[24, 45, 31]"
98710n,0.094003529192141,0.5305124045866924,"[0.25, 0.5, 0.25]","[0.46, 0.51, 0.03]","[2.0, 4.0, 2.0]","[46, 51, 3]"
53499c,0.01805955632934546,0.07800180640352466,"[0.2727272727272727, 0.18181818181818182, 0.5454545454545454]","[0.23, 0.09, 0.68]","[3.0, 2.0, 6.0]","[23, 9, 68]"
89995c,0.07422692618835362,0.30212858022851286,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.65, 0.19, 0.16]","[4.0, 4.0, 4.0]","[65, 19, 16]"
65066n,0.26128325617359255,1.5570308054567652,"[0.4, 0.2, 0.4]","[0.02, 0.69, 0.29]","[2.0, 1.0, 2.0]","[2, 69, 29]"
142604e,0.03888175960254892,0.1698245882112675,"[0.6, 0.4, 0.0]","[0.81, 0.19, 0.0]","[6.0, 4.0, 0.0]","[81, 19, 0]"
133274n,0.07729004984434977,0.3241719711587473,"[0.42857142857142855, 0.14285714285714285, 0.42857142857142855]","[0.17, 0.36, 0.47]","[6.0, 2.0, 6.0]","[17, 36, 47]"
84781c,0.08965437123052662,0.4238817921304425,"[0.4, 0.3, 0.3]","[0.11, 0.54, 0.35]","[4.0, 3.0, 3.0]","[11, 54, 35]"
76219n,0.09165356553724407,0.5056721145996395,"[0.5, 0.1875, 0.3125]","[0.7, 0.25, 0.05]","[8.0, 3.0, 5.0]","[70, 25, 5]"
