uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
75259c,0.634001430417094,31.120375174375248,"[0.18181818181818182, 0.45454545454545453, 0.36363636363636365]","[1.0, 0.0, 0.0]","[2.0, 5.0, 4.0]","[3.0, 0.0, 0.0]"
117089n,0.34249494556665416,20.469038699535027,"[0.5384615384615384, 0.46153846153846156, 0.0]","[0.0, 1.0, 0.0]","[7.0, 6.0, 0.0]","[0.0, 3.0, 0.0]"
107252c,0.49342260576014463,26.333245402678,"[0.3, 0.3, 0.4]","[0.0, 1.0, 0.0]","[3.0, 3.0, 4.0]","[0.0, 4.0, 0.0]"
141321n,0.31127812445913294,18.472420652375092,"[0.3333333333333333, 0.16666666666666666, 0.5]","[0.0, 0.0, 1.0]","[2.0, 1.0, 3.0]","[0.0, 0.0, 4.0]"
52854n,0.2909388770033496,14.24115767739284,"[0.375, 0.25, 0.375]","[0.25, 0.75, 0.0]","[3.0, 2.0, 3.0]","[1.0, 3.0, 0.0]"
10724n,0.6099865470109875,30.405034413770046,"[0.3, 0.2, 0.5]","[0.0, 1.0, 0.0]","[3.0, 2.0, 5.0]","[0.0, 4.0, 0.0]"
134514c,0.13792538097002996,9.15450616024215,"[0.25, 0.375, 0.375]","[0.0, 0.5, 0.5]","[2.0, 3.0, 3.0]","[0.0, 1.0, 1.0]"
100349e,0.23645279766002808,14.974304261044336,"[0.4, 0.2, 0.4]","[0.6666666666666666, 0.3333333333333333, 0.0]","[4.0, 2.0, 4.0]","[2.0, 1.0, 0.0]"
129601e,0.3424949455666543,20.004281470344964,"[0.46153846153846156, 0.38461538461538464, 0.15384615384615385]","[1.0, 0.0, 0.0]","[6.0, 5.0, 2.0]","[3.0, 0.0, 0.0]"
109679n,0.6548575458269755,31.760133031925022,"[0.16666666666666666, 0.5, 0.3333333333333333]","[1.0, 0.0, 0.0]","[1.0, 3.0, 2.0]","[3.0, 0.0, 0.0]"
61429c,0.39581560200335836,22.39595418838016,"[0.2, 0.4, 0.4]","[0.0, 1.0, 0.0]","[3.0, 6.0, 6.0]","[0.0, 4.0, 0.0]"
43891n,0.2762115685491562,16.68423639959823,"[0.18181818181818182, 0.5454545454545454, 0.2727272727272727]","[0.0, 1.0, 0.0]","[2.0, 6.0, 3.0]","[0.0, 4.0, 0.0]"
115821n,0.5457067032248616,21.71436245909774,"[0.3888888888888889, 0.05555555555555555, 0.5555555555555556]","[0.25, 0.75, 0.0]","[7.0, 1.0, 10.0]","[1.0, 3.0, 0.0]"
12815n,0.34647531677624255,20.28678254504325,"[0.4, 0.06666666666666667, 0.5333333333333333]","[0.75, 0.25, 0.0]","[6.0, 1.0, 8.0]","[3.0, 1.0, 0.0]"
41975c,1.0,39.00001657012218,"[0.7142857142857143, 0.0, 0.2857142857142857]","[0.0, 1.0, 0.0]","[5.0, 0.0, 2.0]","[0.0, 4.0, 0.0]"
86331e,0.6099865470109875,30.40503441377005,"[0.2, 0.5, 0.3]","[1.0, 0.0, 0.0]","[2.0, 5.0, 3.0]","[4.0, 0.0, 0.0]"
60732n,0.2543628371936578,13.44813155098728,"[0.5, 0.14285714285714285, 0.35714285714285715]","[0.5, 0.5, 0.0]","[7.0, 2.0, 5.0]","[2.0, 2.0, 0.0]"
124037n,0.35686714873036746,20.75404007566245,"[0.1111111111111111, 0.4444444444444444, 0.4444444444444444]","[0.0, 1.0, 0.0]","[1.0, 4.0, 4.0]","[0.0, 3.0, 0.0]"
137319n,0.17992507553151105,3.890851869626608,"[0.9, 0.0, 0.1]","[0.75, 0.25, 0.0]","[9.0, 0.0, 1.0]","[3.0, 1.0, 0.0]"
101525c,0.5087256743873155,26.917012677364795,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.0, 1.0, 0.0]","[3.0, 2.0, 2.0]","[0.0, 4.0, 0.0]"
130869n,0.04842884416218482,0.17932343849092966,"[0.5, 0.125, 0.375]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.0, 1.0, 3.0]","[1.0, 1.0, 1.0]"
