uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
75259c,0.09589072872108996,0.42779306798772226,"[0.16666666666666666, 0.3333333333333333, 0.5]","[0.36, 0.47, 0.17]","[2.0, 4.0, 6.0]","[36, 47, 17]"
117089n,0.15979624538821788,1.1419499634143255,"[0.38095238095238093, 0.3333333333333333, 0.2857142857142857]","[0.32, 0.67, 0.01]","[8.0, 7.0, 6.0]","[32, 67, 1]"
107252c,0.21198628846241024,1.0658532801264715,"[0.3, 0.3, 0.4]","[0.03, 0.8, 0.17]","[3.0, 3.0, 4.0]","[3, 80, 17]"
141321n,0.03856968637765964,0.15648114943273372,"[0.2, 0.4, 0.4]","[0.12, 0.25, 0.63]","[1.0, 2.0, 2.0]","[12, 25, 63]"
52854n,0.21699703988050204,13.568960437291318,"[0.2727272727272727, 0.36363636363636365, 0.36363636363636365]","[0.53, 0.47, 0.0]","[3.0, 4.0, 4.0]","[53, 47, 0]"
10724n,0.296572297816304,1.383443755627149,"[0.36363636363636365, 0.18181818181818182, 0.45454545454545453]","[0.04, 0.78, 0.18]","[4.0, 2.0, 5.0]","[4, 78, 18]"
134514c,0.1401941690621625,0.6223514049121297,"[0.25, 0.375, 0.375]","[0.07, 0.13, 0.8]","[2.0, 3.0, 3.0]","[7, 13, 80]"
100349e,0.20618783980969374,1.6960714914470998,"[0.4, 0.2, 0.4]","[0.64, 0.35, 0.01]","[4.0, 2.0, 4.0]","[64, 35, 1]"
129601e,0.13458422906426581,3.592626843507093,"[0.5454545454545454, 0.36363636363636365, 0.09090909090909091]","[0.9, 0.1, 0.0]","[6.0, 4.0, 1.0]","[90, 10, 0]"
109679n,0.42901087007755717,13.283080335596178,"[0.16666666666666666, 0.5, 0.3333333333333333]","[0.86, 0.14, 0.0]","[1.0, 3.0, 2.0]","[86, 14, 0]"
61429c,0.09935519996604951,0.6380231815247233,"[0.25, 0.25, 0.5]","[0.02, 0.41, 0.57]","[3.0, 3.0, 6.0]","[2, 41, 57]"
43891n,0.16161403144571276,10.059552644557254,"[0.2727272727272727, 0.45454545454545453, 0.2727272727272727]","[0.0, 0.5, 0.5]","[3.0, 5.0, 3.0]","[0, 50, 50]"
115821n,0.5025355222600838,2.5280566639768485,"[0.4117647058823529, 0.0, 0.5882352941176471]","[0.41, 0.56, 0.03]","[7.0, 0.0, 10.0]","[41, 56, 3]"
12815n,0.21491024702518485,12.4493367387454,"[0.23809523809523808, 0.42857142857142855, 0.3333333333333333]","[0.56, 0.44, 0.0]","[5.0, 9.0, 7.0]","[56, 44, 0]"
41975c,0.29736583839006797,1.3284416744558036,"[0.7142857142857143, 0.14285714285714285, 0.14285714285714285]","[0.14, 0.7, 0.16]","[5.0, 1.0, 1.0]","[14, 70, 16]"
86331e,0.33275110160267973,11.762362713164912,"[0.3, 0.4, 0.3]","[0.9, 0.1, 0.0]","[3.0, 4.0, 3.0]","[90, 10, 0]"
60732n,0.1307567870696325,0.8463350940597326,"[0.4117647058823529, 0.29411764705882354, 0.29411764705882354]","[0.7, 0.28, 0.02]","[7.0, 5.0, 5.0]","[70, 28, 2]"
124037n,0.3260546111128089,1.5708118032716567,"[0.1111111111111111, 0.4444444444444444, 0.4444444444444444]","[0.69, 0.27, 0.04]","[1.0, 4.0, 4.0]","[69, 27, 4]"
137319n,0.16226710515966708,1.3070316240227946,"[0.5333333333333333, 0.13333333333333333, 0.3333333333333333]","[0.81, 0.18, 0.01]","[8.0, 2.0, 5.0]","[81, 18, 1]"
101525c,0.19281269990729885,12.375966799360828,"[0.3333333333333333, 0.4444444444444444, 0.2222222222222222]","[0.0, 0.72, 0.28]","[3.0, 4.0, 2.0]","[0, 72, 28]"
130869n,0.2809534998515685,1.649035744709237,"[0.5714285714285714, 0.0, 0.42857142857142855]","[0.77, 0.21, 0.02]","[4.0, 0.0, 3.0]","[77, 21, 2]"
61216c,0.06008091595614755,0.25035457274150974,"[0.21428571428571427, 0.42857142857142855, 0.35714285714285715]","[0.17, 0.2, 0.63]","[3.0, 6.0, 5.0]","[17, 20, 63]"
32754e,0.2562642384918573,1.8372145225967205,"[0.4166666666666667, 0.08333333333333333, 0.5]","[0.8, 0.18, 0.02]","[5.0, 1.0, 6.0]","[80, 18, 2]"
