uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
75259c,0.6548575458269755,31.760133031925022,"[0.16666666666666666, 0.3333333333333333, 0.5]","[1.0, 0.0, 0.0]","[2.0, 4.0, 6.0]","[3.0, 0.0, 0.0]"
117089n,0.45914791702724467,25.000310167767026,"[0.38095238095238093, 0.3333333333333333, 0.2857142857142857]","[0.0, 1.0, 0.0]","[8.0, 7.0, 6.0]","[0.0, 3.0, 0.0]"
107252c,0.49342260576014463,26.333245402678,"[0.3, 0.3, 0.4]","[0.0, 1.0, 0.0]","[3.0, 3.0, 4.0]","[0.0, 4.0, 0.0]"
141321n,0.39581560200335836,22.395954188380163,"[0.2, 0.4, 0.4]","[0.0, 0.0, 1.0]","[1.0, 2.0, 2.0]","[0.0, 0.0, 4.0]"
52854n,0.23154086819927952,13.619439840845171,"[0.2727272727272727, 0.36363636363636365, 0.36363636363636365]","[0.25, 0.75, 0.0]","[3.0, 4.0, 4.0]","[1.0, 3.0, 0.0]"
10724n,0.634001430417094,31.120375174375248,"[0.36363636363636365, 0.18181818181818182, 0.45454545454545453]","[0.0, 1.0, 0.0]","[4.0, 2.0, 5.0]","[0.0, 4.0, 0.0]"
134514c,0.13792538097002996,9.15450616024215,"[0.25, 0.375, 0.375]","[0.0, 0.5, 0.5]","[2.0, 3.0, 3.0]","[0.0, 1.0, 1.0]"
100349e,0.23645279766002808,14.974304261044336,"[0.4, 0.2, 0.4]","[0.6666666666666666, 0.3333333333333333, 0.0]","[4.0, 2.0, 4.0]","[2.0, 1.0, 0.0]"
129601e,0.2762115685491562,16.797428444855512,"[0.5454545454545454, 0.36363636363636365, 0.09090909090909091]","[1.0, 0.0, 0.0]","[6.0, 4.0, 1.0]","[3.0, 0.0, 0.0]"
109679n,0.6548575458269755,31.760133031925022,"[0.16666666666666666, 0.5, 0.3333333333333333]","[1.0, 0.0, 0.0]","[1.0, 3.0, 2.0]","[3.0, 0.0, 0.0]"
61429c,0.5487949406953986,28.397352854064955,"[0.25, 0.25, 0.5]","[0.0, 1.0, 0.0]","[3.0, 3.0, 6.0]","[0.0, 4.0, 0.0]"
43891n,0.34833583088395825,20.204044591500654,"[0.2727272727272727, 0.45454545454545453, 0.2727272727272727]","[0.0, 1.0, 0.0]","[3.0, 5.0, 3.0]","[0.0, 4.0, 0.0]"
115821n,0.6835251234120099,23.295015793442325,"[0.4117647058823529, 0.0, 0.5882352941176471]","[0.25, 0.75, 0.0]","[7.0, 0.0, 10.0]","[1.0, 3.0, 0.0]"
12815n,0.2842866630912747,12.69852054910544,"[0.23809523809523808, 0.42857142857142855, 0.3333333333333333]","[0.75, 0.25, 0.0]","[5.0, 9.0, 7.0]","[3.0, 1.0, 0.0]"
41975c,0.6893917467430878,33.01956840749542,"[0.7142857142857143, 0.14285714285714285, 0.14285714285714285]","[0.0, 1.0, 0.0]","[5.0, 1.0, 1.0]","[0.0, 4.0, 0.0]"
86331e,0.49342260576014463,26.333245402678,"[0.3, 0.4, 0.3]","[1.0, 0.0, 0.0]","[3.0, 4.0, 3.0]","[4.0, 0.0, 0.0]"
60732n,0.16961673940860056,10.864681340937157,"[0.4117647058823529, 0.29411764705882354, 0.29411764705882354]","[0.5, 0.5, 0.0]","[7.0, 5.0, 5.0]","[2.0, 2.0, 0.0]"
124037n,0.35686714873036746,20.75404007566245,"[0.1111111111111111, 0.4444444444444444, 0.4444444444444444]","[0.0, 1.0, 0.0]","[1.0, 4.0, 4.0]","[0.0, 3.0, 0.0]"
137319n,0.19293549705120375,12.37615114855818,"[0.5333333333333333, 0.13333333333333333, 0.3333333333333333]","[0.75, 0.25, 0.0]","[8.0, 2.0, 5.0]","[3.0, 1.0, 0.0]"
101525c,0.35686714873036746,20.615694242570086,"[0.3333333333333333, 0.4444444444444444, 0.2222222222222222]","[0.0, 1.0, 0.0]","[3.0, 4.0, 2.0]","[0.0, 4.0, 0.0]"
130869n,0.1938385994050719,0.599734364648324,"[0.5714285714285714, 0.0, 0.42857142857142855]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.0, 0.0, 3.0]","[1.0, 1.0, 1.0]"
61216c,0.4357852367076836,24.095683451504026,"[0.21428571428571427, 0.42857142857142855, 0.35714285714285715]","[0.0, 0.0, 1.0]","[3.0, 6.0, 5.0]","[0.0, 0.0, 4.0]"
32754e,0.3718315926532161,19.106557358538897,"[0.4166666666666667, 0.08333333333333333, 0.5]","[0.5, 0.5, 0.0]","[5.0, 1.0, 6.0]","[2.0, 2.0, 0.0]"
88605n,0.282354611015308,14.568848814727223,"[0.3076923076923077, 0.3076923076923077, 0.38461538461538464]","[0.8, 0.2, 0.0]","[4.0, 4.0, 5.0]","[4.0, 1.0, 0.0]"
112402c,0.057665351453036896,3.5398743692317445,"[0.1, 0.6, 0.3]","[0.0, 0.75, 0.25]","[1.0, 6.0, 3.0]","[0.0, 3.0, 1.0]"
138285n,0.2302921552044523,12.507762378627193,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.75, 0.0]","[5.0, 5.0, 5.0]","[1.0, 3.0, 0.0]"
134655c,0.49342260576014463,26.418720699905073,"[0.2, 0.5, 0.3]","[0.0, 0.0, 1.0]","[2.0, 5.0, 3.0]","[0.0, 0.0, 4.0]"
1073c,0.42956313049465866,23.794827242596156,"[0.36363636363636365, 0.36363636363636365, 0.2727272727272727]","[0.0, 1.0, 0.0]","[4.0, 4.0, 3.0]","[0.0, 4.0, 0.0]"
95186n,0.5819765115539189,29.569141714744593,"[0.2222222222222222, 0.2222222222222222, 0.5555555555555556]","[0.0, 1.0, 0.0]","[2.0, 2.0, 5.0]","[0.0, 4.0, 0.0]"
105179c,0.2534938766294319,15.646283430559395,"[0.4166666666666667, 0.25, 0.3333333333333333]","[0.0, 0.3333333333333333, 0.6666666666666666]","[5.0, 3.0, 4.0]","[0.0, 1.0, 2.0]"
91709c,0.42041917847322613,23.59995236722073,"[0.6153846153846154, 0.15384615384615385, 0.23076923076923078]","[0.0, 0.25, 0.75]","[8.0, 2.0, 3.0]","[0.0, 1.0, 3.0]"
32754n,0.19087450462110955,12.369416545534575,"[0.6666666666666666, 0.0, 0.3333333333333333]","[1.0, 0.0, 0.0]","[4.0, 0.0, 2.0]","[3.0, 0.0, 0.0]"
133005n,0.1468032412477258,0.6489950630121664,"[0.0, 0.36363636363636365, 0.6363636363636364]","[0.0, 0.8, 0.2]","[0.0, 4.0, 7.0]","[0.0, 4.0, 1.0]"
26495e,0.04293046286868343,0.1677371029752444,"[0.26666666666666666, 0.4, 0.3333333333333333]","[0.5, 0.25, 0.25]","[4.0, 6.0, 5.0]","[2.0, 1.0, 1.0]"
14459n,0.4059369371110205,22.81882374496619,"[0.3888888888888889, 0.3888888888888889, 0.2222222222222222]","[0.0, 1.0, 0.0]","[7.0, 7.0, 4.0]","[0.0, 4.0, 0.0]"
12562n,0.3809300909097882,21.69891149495234,"[0.25, 0.4166666666666667, 0.3333333333333333]","[0.0, 1.0, 0.0]","[3.0, 5.0, 4.0]","[0.0, 3.0, 0.0]"
23583e,0.31127812445913294,18.446093272175112,"[0.3, 0.2, 0.5]","[0.0, 0.0, 1.0]","[3.0, 2.0, 5.0]","[0.0, 0.0, 2.0]"
17753n,0.2040112131001934,11.478548861553591,"[0.38461538461538464, 0.3076923076923077, 0.3076923076923077]","[0.3333333333333333, 0.6666666666666666, 0.0]","[5.0, 4.0, 4.0]","[1.0, 2.0, 0.0]"
76947n,0.11888053366888536,6.635711496994412,"[0.09090909090909091, 0.7272727272727273, 0.18181818181818182]","[0.25, 0.75, 0.0]","[1.0, 8.0, 2.0]","[1.0, 3.0, 0.0]"
82830n,0.24089396494205004,12.539768877398256,"[0.25, 0.4166666666666667, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0]","[3.0, 5.0, 4.0]","[2.0, 1.0, 0.0]"
129185n,0.3127668126599383,18.936030539444793,"[0.2777777777777778, 0.2222222222222222, 0.5]","[0.5, 0.5, 0.0]","[5.0, 4.0, 9.0]","[2.0, 2.0, 0.0]"
98561e,0.45914791702724483,25.223780644023478,"[0.3333333333333333, 0.1111111111111111, 0.5555555555555556]","[1.0, 0.0, 0.0]","[3.0, 1.0, 5.0]","[2.0, 0.0, 0.0]"
16989c,0.8107003562385242,35.75196102636777,"[0.35714285714285715, 0.07142857142857142, 0.5714285714285714]","[0.0, 1.0, 0.0]","[5.0, 1.0, 8.0]","[0.0, 3.0, 0.0]"
