uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
11362e,0.1656710843636494,0.7527301582851369,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.79, 0.14, 0.07]","[0.0, 0.0, 0.0]","[79.0, 14.0, 7.0]"
3545n,0.12581000123144664,0.37706964900642426,"[0.0, 1.0, 0.0]","[0.15, 0.77, 0.08]","[0.0, 1.0, 0.0]","[15.0, 77.0, 8.0]"
122062n,0.17291479155017223,1.3431587140309937,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.36, 0.63, 0.01]","[0.0, 0.0, 0.0]","[36.0, 63.0, 1.0]"
124037n,0.1756259088173849,0.5353317329232496,"[1.0, 0.0, 0.0]","[0.69, 0.27, 0.04]","[2.0, 0.0, 0.0]","[69.0, 27.0, 4.0]"
123891c,0.39927089463280985,1.5109416257485544,"[0.3333333333333333, 0.0, 0.6666666666666666]","[0.04, 0.56, 0.4]","[1.0, 0.0, 2.0]","[4.0, 56.0, 40.0]"
48223n,0.2072649470591055,1.0337339725486907,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.83, 0.13, 0.04]","[0.0, 0.0, 0.0]","[83.0, 13.0, 4.0]"
49227n,0.13178702480149945,0.8123001524511706,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.4, 0.57, 0.03]","[0.0, 0.0, 0.0]","[40.0, 57.0, 3.0]"
36811c,0.06130403286026846,0.20615570063509017,"[0.0, 0.25, 0.75]","[0.07, 0.4, 0.53]","[0.0, 1.0, 3.0]","[7.0, 40.0, 53.0]"
96946n,0.15176648937598003,0.7509940612825675,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.74, 0.21, 0.05]","[0.0, 0.0, 0.0]","[74.0, 21.0, 5.0]"
137715n,0.10220681824533452,0.30400618681804203,"[1.0, 0.0, 0.0]","[0.81, 0.16, 0.03]","[2.0, 0.0, 0.0]","[81.0, 16.0, 3.0]"
8487n,0.20873545110053368,0.6438561897003113,"[1.0, 0.0, 0.0]","[0.64, 0.28, 0.08]","[3.0, 0.0, 0.0]","[64.0, 28.0, 8.0]"
54383c,0.9021547608988222,5.0588936889343445,"[1.0, 0.0, 0.0]","[0.03, 0.47, 0.5]","[2.0, 0.0, 0.0]","[3.0, 47.0, 50.0]"
129081e,0.0651111170408274,0.26333673584015016,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.63, 0.2, 0.17]","[0.0, 0.0, 0.0]","[63.0, 20.0, 17.0]"
63218n,0.22335092540000773,1.057603945011686,"[0.0, 0.6666666666666666, 0.3333333333333333]","[0.23, 0.74, 0.03]","[0.0, 2.0, 1.0]","[23.0, 74.0, 3.0]"
46820e,0.061885440101631536,0.28280896458131877,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.34, 0.55, 0.11]","[0.0, 0.0, 0.0]","[34.0, 55.0, 11.0]"
120323n,0.1747202579499576,0.9678227524238313,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.75, 0.22, 0.03]","[0.0, 0.0, 0.0]","[75.0, 22.0, 3.0]"
80630e,0.05731038077849561,0.1681227587372935,"[1.0, 0.0, 0.0]","[0.89, 0.08, 0.03]","[2.0, 0.0, 0.0]","[89.0, 8.0, 3.0]"
73444n,0.26537374235093775,0.8365012676434426,"[1.0, 0.0, 0.0]","[0.56, 0.41, 0.03]","[3.0, 0.0, 0.0]","[56.0, 41.0, 3.0]"
98844n,0.016856914778404473,0.07150267868339319,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.2, 0.38, 0.42]","[0.0, 0.0, 0.0]","[20.0, 38.0, 42.0]"
41052n,0.18300759508391978,1.3783406384659447,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.68, 0.31, 0.01]","[0.0, 0.0, 0.0]","[68.0, 31.0, 1.0]"
25304n,0.003961398787738619,0.016038669956204288,"[0.25, 0.25, 0.5]","[0.23, 0.2, 0.57]","[1.0, 1.0, 2.0]","[23.0, 20.0, 57.0]"
83900e,0.08625537121752218,0.41654796614409756,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.59, 0.33, 0.08]","[0.0, 0.0, 0.0]","[59.0, 33.0, 8.0]"
46059c,0.08909917164426513,0.30104376987437637,"[0.5, 0.0, 0.5]","[0.27, 0.12, 0.61]","[2.0, 0.0, 2.0]","[27.0, 12.0, 61.0]"
88605e,0.23495661414719168,1.5772220737216482,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.82, 0.17, 0.01]","[0.0, 0.0, 0.0]","[82.0, 17.0, 1.0]"
17753n,0.06276448651079408,0.18442457110061097,"[1.0, 0.0, 0.0]","[0.88, 0.12, 0.0]","[1.0, 0.0, 0.0]","[88.0, 12.0, 0.0]"
91913n,0.12320559520946306,0.6999551566955596,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.6, 0.36, 0.04]","[0.0, 0.0, 0.0]","[60.0, 36.0, 4.0]"
95186n,0.16623695692617046,1.3203826890965469,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.58, 0.41, 0.01]","[0.0, 0.0, 0.0]","[58.0, 41.0, 1.0]"
127290n,0.5724912990502863,2.120294233639627,"[1.0, 0.0, 0.0]","[0.23, 0.7, 0.07]","[4.0, 0.0, 0.0]","[23.0, 70.0, 7.0]"
16996e,0.21555782509150792,0.6665762662008673,"[1.0, 0.0, 0.0]","[0.63, 0.32, 0.05]","[1.0, 0.0, 0.0]","[63.0, 32.0, 5.0]"
97926n,0.18867488947488256,0.5777669992438892,"[1.0, 0.0, 0.0]","[0.67, 0.3, 0.03]","[1.0, 0.0, 0.0]","[67.0, 30.0, 3.0]"
11971n,0.11513972449808253,0.6722699101197431,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.52, 0.44, 0.04]","[0.0, 0.0, 0.0]","[52.0, 44.0, 4.0]"
2870n,0.22692857981833073,12.495356310794076,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.74, 0.26, 0.0]","[0.0, 0.0, 0.0]","[74.0, 26.0, 0.0]"
11303n,0.16307748702607827,1.0521318554198564,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.67, 0.31, 0.02]","[0.0, 0.0, 0.0]","[67.0, 31.0, 2.0]"
30894c,0.13760223838794203,0.7508702938506358,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.04, 0.67, 0.29]","[0.0, 0.0, 0.0]","[4.0, 67.0, 29.0]"
1073c,0.09070410686643719,0.2688167583556345,"[0.0, 1.0, 0.0]","[0.04, 0.83, 0.13]","[0.0, 2.0, 0.0]","[4.0, 83.0, 13.0]"
6105e,0.14406499878168014,0.4344028240728048,"[1.0, 0.0, 0.0]","[0.74, 0.22, 0.04]","[1.0, 0.0, 0.0]","[74.0, 22.0, 4.0]"
82830n,0.6099865470109875,2.3219280948072463,"[0.0, 0.0, 1.0]","[0.6, 0.2, 0.2]","[0.0, 0.0, 3.0]","[60.0, 20.0, 20.0]"
23751c,0.07422692618835362,0.30212858022851286,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.16, 0.65, 0.19]","[0.0, 0.0, 0.0]","[16.0, 65.0, 19.0]"
52761e,0.20198180736881213,0.6214883766745889,"[1.0, 0.0, 0.0]","[0.65, 0.34, 0.01]","[1.0, 0.0, 0.0]","[65.0, 34.0, 1.0]"
111680e,0.28889184739514884,1.6205105016125476,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.91, 0.07, 0.02]","[0.0, 0.0, 0.0]","[91.0, 7.0, 2.0]"
49172n,0.07380424507879536,0.21759143500247072,"[1.0, 0.0, 0.0]","[0.86, 0.13, 0.01]","[1.0, 0.0, 0.0]","[86.0, 13.0, 1.0]"
105179c,0.327323604495017,1.058893688978327,"[0.0, 0.0, 1.0]","[0.07, 0.45, 0.48]","[0.0, 0.0, 2.0]","[7.0, 45.0, 48.0]"
