uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
93236c,0.03816841317532418,0.14667947131078984,"[0.0, 0.5, 0.5]","[0.02, 0.3, 0.68]","[0.0, 3.0, 3.0]","[2.0, 30.0, 68.0]"
15771c,0.1703147551929691,0.7277655653681503,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.11, 0.13, 0.76]","[2.0, 3.0, 2.0]","[11.0, 13.0, 76.0]"
28306c,0.1422469260105293,0.5458625407221321,"[0.0, 0.5, 0.5]","[0.14, 0.17, 0.69]","[0.0, 3.0, 3.0]","[14.0, 17.0, 69.0]"
100895c,0.1361461565211184,0.7797107309351294,"[0.25, 0.4166666666666667, 0.3333333333333333]","[0.02, 0.78, 0.2]","[3.0, 5.0, 4.0]","[2.0, 78.0, 20.0]"
10119e,0.025315883078513946,0.08568420912109129,"[0.5, 0.5, 0.0]","[0.6, 0.37, 0.03]","[2.0, 2.0, 0.0]","[60.0, 37.0, 3.0]"
139362e,0.33549730157687935,1.0892673380228828,"[1.0, 0.0, 0.0]","[0.47, 0.5, 0.03]","[3.0, 0.0, 0.0]","[47.0, 50.0, 3.0]"
34043c,0.19934516837892408,12.397946064107435,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.0, 0.62, 0.38]","[3.0, 3.0, 3.0]","[0.0, 62.0, 38.0]"
77025c,0.01188855119261395,0.04780282821250853,"[0.16666666666666666, 0.5, 0.3333333333333333]","[0.11, 0.44, 0.45]","[1.0, 3.0, 2.0]","[11.0, 44.0, 45.0]"
10229n,0.2298155013931557,1.2968088701309857,"[0.4, 0.3, 0.3]","[0.03, 0.79, 0.18]","[4.0, 3.0, 3.0]","[3.0, 79.0, 18.0]"
125021c,0.11415205892552861,0.6689186885651064,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.04, 0.48, 0.48]","[3.0, 3.0, 3.0]","[4.0, 48.0, 48.0]"
125700e,0.053467477054558926,0.2546837039465605,"[0.375, 0.375, 0.25]","[0.57, 0.36, 0.07]","[3.0, 3.0, 2.0]","[57.0, 36.0, 7.0]"
103364n,0.056817680713340625,0.23696559413237858,"[0.5, 0.5, 0.0]","[0.75, 0.24, 0.01]","[3.0, 3.0, 0.0]","[75.0, 24.0, 1.0]"
75572n,0.007965565993120365,0.0346228688418137,"[0.42857142857142855, 0.42857142857142855, 0.14285714285714285]","[0.49, 0.43, 0.08]","[3.0, 3.0, 1.0]","[49.0, 43.0, 8.0]"
74768e,0.09703022344999652,0.33974958961704455,"[0.4, 0.6, 0.0]","[0.57, 0.32, 0.11]","[2.0, 3.0, 0.0]","[57.0, 32.0, 11.0]"
88050c,0.30632971524254693,1.7274111826360885,"[0.0, 0.5, 0.5]","[0.21, 0.03, 0.76]","[0.0, 2.0, 2.0]","[21.0, 3.0, 76.0]"
82174e,0.14339926210608797,0.9842264643021323,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.52, 0.46, 0.02]","[3.0, 3.0, 3.0]","[52.0, 46.0, 2.0]"
45957e,0.002927864984354224,0.01176473485859185,"[0.375, 0.375, 0.25]","[0.43, 0.32, 0.25]","[3.0, 3.0, 2.0]","[43.0, 32.0, 25.0]"
123027n,0.1310060805614969,0.7561912954585083,"[0.375, 0.375, 0.25]","[0.72, 0.26, 0.02]","[3.0, 3.0, 2.0]","[72.0, 26.0, 2.0]"
122322e,0.13556979212158413,0.6073356862120258,"[0.375, 0.375, 0.25]","[0.79, 0.15, 0.06]","[3.0, 3.0, 2.0]","[79.0, 15.0, 6.0]"
59208n,0.028437199932017272,0.12626071428693053,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.13, 0.48, 0.39]","[2.0, 3.0, 2.0]","[13.0, 48.0, 39.0]"
136752e,0.18307356479120598,0.8713739733396307,"[0.5, 0.5, 0.0]","[0.83, 0.09, 0.08]","[2.0, 2.0, 0.0]","[83.0, 9.0, 8.0]"
2262n,0.103215386393149,0.5098237369091856,"[0.6, 0.4, 0.0]","[0.9, 0.09, 0.01]","[3.0, 2.0, 0.0]","[90.0, 9.0, 1.0]"
80930n,0.11470707394003694,0.670800876278818,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.45, 0.51, 0.04]","[3.0, 3.0, 3.0]","[45.0, 51.0, 4.0]"
30171n,0.09149924302586035,0.44028271289583987,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.56, 0.38, 0.06]","[2.0, 3.0, 2.0]","[56.0, 38.0, 6.0]"
123748n,0.18589299474338428,0.8479185566108299,"[0.3333333333333333, 0.5, 0.16666666666666666]","[0.82, 0.15, 0.03]","[2.0, 3.0, 1.0]","[82.0, 15.0, 3.0]"
10724n,0.21394770570455712,1.1363074292183097,"[0.4, 0.3, 0.3]","[0.04, 0.78, 0.18]","[4.0, 3.0, 3.0]","[4.0, 78.0, 18.0]"
45306n,0.1655101375252849,1.0607758767484379,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.02, 0.68, 0.3]","[3.0, 3.0, 3.0]","[2.0, 68.0, 30.0]"
109278n,0.10253762014417006,0.441258229364705,"[0.25, 0.375, 0.375]","[0.13, 0.74, 0.13]","[2.0, 3.0, 3.0]","[13.0, 74.0, 13.0]"
45443c,0.07787808814139278,0.25031302746190576,"[0.0, 0.5, 0.5]","[0.12, 0.31, 0.57]","[0.0, 3.0, 3.0]","[12.0, 31.0, 57.0]"
23280n,0.12895613750606597,0.6258243495866419,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.24, 0.7, 0.06]","[3.0, 3.0, 3.0]","[24.0, 70.0, 6.0]"
68946c,0.2201391156997394,1.516990741323189,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.01, 0.79, 0.2]","[3.0, 3.0, 3.0]","[1.0, 79.0, 20.0]"
60732n,0.17086553404473814,1.08001437603383,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.7, 0.28, 0.02]","[3.0, 3.0, 3.0]","[70.0, 28.0, 2.0]"
77116e,0.16066937918061863,10.52825124604393,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.43, 0.57, 0.0]","[2.0, 3.0, 2.0]","[43.0, 57.0, 0.0]"
109876n,0.013182168842508538,0.054964434124130865,"[0.375, 0.375, 0.25]","[0.25, 0.45, 0.3]","[3.0, 3.0, 2.0]","[25.0, 45.0, 30.0]"
96956c,0.12224271160237016,0.5721603906967705,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.07, 0.7, 0.23]","[3.0, 3.0, 3.0]","[7.0, 70.0, 23.0]"
101245n,0.056817680713340625,0.23696559413237858,"[0.5, 0.5, 0.0]","[0.75, 0.24, 0.01]","[3.0, 3.0, 0.0]","[75.0, 24.0, 1.0]"
131623c,0.1317870248014995,0.8123001524511706,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.03, 0.4, 0.57]","[3.0, 3.0, 3.0]","[3.0, 40.0, 57.0]"
36715e,0.20469086069804873,1.1051780704672165,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.76, 0.22, 0.02]","[2.0, 3.0, 2.0]","[76.0, 22.0, 2.0]"
113644n,0.11157024919485369,0.5442390292985707,"[0.375, 0.375, 0.25]","[0.08, 0.7, 0.22]","[3.0, 3.0, 2.0]","[8.0, 70.0, 22.0]"
34094e,0.273662384383644,1.7526059432519476,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.88, 0.11, 0.01]","[3.0, 3.0, 3.0]","[88.0, 11.0, 1.0]"
91106n,0.0757010386003918,0.3586729093807661,"[0.3333333333333333, 0.5, 0.16666666666666666]","[0.61, 0.36, 0.03]","[2.0, 3.0, 1.0]","[61.0, 36.0, 3.0]"
105561e,0.029147949252237775,0.12487647270807106,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.6, 0.14, 0.26]","[3.0, 2.0, 2.0]","[60.0, 14.0, 26.0]"
91709c,0.21211265594485398,0.7125375109561501,"[0.5, 0.5, 0.0]","[0.19, 0.49, 0.32]","[3.0, 3.0, 0.0]","[19.0, 49.0, 32.0]"
81579e,0.24107029172788216,1.1975056350491435,"[0.25, 0.375, 0.375]","[0.78, 0.18, 0.04]","[2.0, 3.0, 3.0]","[78.0, 18.0, 4.0]"
19921n,0.19818590783522796,0.9395831644846426,"[0.3333333333333333, 0.5, 0.16666666666666666]","[0.83, 0.15, 0.02]","[2.0, 3.0, 1.0]","[83.0, 15.0, 2.0]"
95883e,0.3051341545025199,1.015568099943058,"[0.0, 0.6, 0.4]","[0.47, 0.22, 0.31]","[0.0, 3.0, 2.0]","[47.0, 22.0, 31.0]"
114971e,0.002414830419929529,0.00982538073946057,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.36, 0.28, 0.36]","[2.0, 2.0, 2.0]","[36.0, 28.0, 36.0]"
121910c,0.126687124684702,0.49614005684110907,"[0.2, 0.4, 0.4]","[0.6, 0.23, 0.17]","[1.0, 2.0, 2.0]","[60.0, 23.0, 17.0]"
123751n,0.0899904947628448,0.4550737566924268,"[0.5, 0.16666666666666666, 0.3333333333333333]","[0.78, 0.15, 0.07]","[3.0, 1.0, 2.0]","[78.0, 15.0, 7.0]"
93357c,0.1703415122640468,10.561335830006588,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.0, 0.47, 0.53]","[2.0, 3.0, 2.0]","[0.0, 47.0, 53.0]"
69815n,0.02313622027407278,0.08894086260194031,"[0.0, 0.5, 0.5]","[0.01, 0.65, 0.34]","[0.0, 3.0, 3.0]","[1.0, 65.0, 34.0]"
111243n,0.22981192611752257,1.4089485242672712,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.78, 0.21, 0.01]","[2.0, 3.0, 2.0]","[78.0, 21.0, 1.0]"
139409e,0.15791822025696298,1.1385078391132044,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.78, 0.21, 0.01]","[3.0, 2.0, 2.0]","[78.0, 21.0, 1.0]"
124839c,0.05338752700279498,0.37044576430875764,"[0.14285714285714285, 0.42857142857142855, 0.42857142857142855]","[0.01, 0.48, 0.51]","[1.0, 3.0, 3.0]","[1.0, 48.0, 51.0]"
53211n,0.030845783319442037,0.13526827824225493,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.28, 0.59, 0.13]","[2.0, 3.0, 2.0]","[28.0, 59.0, 13.0]"
122645n,0.07466385332318443,0.3301860205571656,"[0.25, 0.375, 0.375]","[0.21, 0.66, 0.13]","[2.0, 3.0, 3.0]","[21.0, 66.0, 13.0]"
104805e,0.06506881811019269,0.2758137672008065,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.12, 0.72, 0.16]","[2.0, 3.0, 2.0]","[12.0, 72.0, 16.0]"
88605n,0.13080020167226764,0.8089372132433135,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.56, 0.41, 0.03]","[3.0, 3.0, 3.0]","[56.0, 41.0, 3.0]"
8219n,0.12738084812765374,0.7973487405231017,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.49, 0.48, 0.03]","[3.0, 3.0, 3.0]","[49.0, 48.0, 3.0]"
76020e,0.07380424507879542,0.21759143500158618,"[1.0, 0.0, 0.0]","[0.86, 0.02, 0.12]","[2.0, 0.0, 0.0]","[86.0, 2.0, 12.0]"
11618c,0.13735927719294266,0.676273664969747,"[0.0, 0.5, 0.5]","[0.0, 0.11, 0.89]","[0.0, 2.0, 2.0]","[0.0, 11.0, 89.0]"
105196n,0.19409797611657928,1.5624545330735198,"[0.25, 0.375, 0.375]","[0.49, 0.5, 0.01]","[2.0, 3.0, 3.0]","[49.0, 50.0, 1.0]"
111693e,0.029204056561924176,0.11500314410985518,"[0.25, 0.375, 0.375]","[0.43, 0.33, 0.24]","[2.0, 3.0, 3.0]","[43.0, 33.0, 24.0]"
45605n,0.12196986134652252,0.7953994991945275,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.5, 0.48, 0.02]","[2.0, 3.0, 2.0]","[50.0, 48.0, 2.0]"
38477c,0.016678646702194138,0.06203135173348934,"[0.0, 0.5, 0.5]","[0.01, 0.37, 0.62]","[0.0, 3.0, 3.0]","[1.0, 37.0, 62.0]"
46576e,0.11536222332069014,0.5460023713558109,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.68, 0.25, 0.07]","[3.0, 3.0, 3.0]","[68.0, 25.0, 7.0]"
19803e,0.17394938778724367,0.8979296415705309,"[0.5, 0.5, 0.0]","[0.9, 0.08, 0.02]","[3.0, 3.0, 0.0]","[90.0, 8.0, 2.0]"
3476n,0.021614072618476036,0.08744259413084544,"[0.42857142857142855, 0.42857142857142855, 0.14285714285714285]","[0.31, 0.6, 0.09]","[3.0, 3.0, 1.0]","[31.0, 60.0, 9.0]"
134356n,0.10462541738829602,0.43814674860049624,"[0.4, 0.6, 0.0]","[0.74, 0.24, 0.02]","[2.0, 3.0, 0.0]","[74.0, 24.0, 2.0]"
135251n,0.024732783372733668,0.09077470716383466,"[0.6, 0.4, 0.0]","[0.72, 0.26, 0.02]","[3.0, 2.0, 0.0]","[72.0, 26.0, 2.0]"
