uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
87332c,0.030489173620878645,0.10607844227746441,"[0.0, 0.6, 0.4]","[0.03, 0.44, 0.53]","[0.0, 3.0, 2.0]","[3.0, 44.0, 53.0]"
101245n,0.0050736120001533165,0.014723422230171566,"[0.75, 0.25, 0.0]","[0.75, 0.24, 0.01]","[3.0, 1.0, 0.0]","[75.0, 24.0, 1.0]"
120323n,0.07348440344038357,0.2997310351725753,"[0.5, 0.5, 0.0]","[0.75, 0.22, 0.03]","[3.0, 3.0, 0.0]","[75.0, 22.0, 3.0]"
91913n,0.12320559520946306,0.6999551566955596,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.6, 0.36, 0.04]","[3.0, 3.0, 3.0]","[60.0, 36.0, 4.0]"
17576n,0.2544477123166205,1.058893689011455,"[0.0, 0.5, 0.5]","[0.27, 0.64, 0.09]","[0.0, 2.0, 2.0]","[27.0, 64.0, 9.0]"
51353c,0.09660348090853818,0.3111882311447427,"[0.0, 0.5, 0.5]","[0.15, 0.29, 0.56]","[0.0, 2.0, 2.0]","[15.0, 29.0, 56.0]"
128176e,0.06905088510704539,0.360798256631366,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.55, 0.39, 0.06]","[3.0, 2.0, 2.0]","[55.0, 39.0, 6.0]"
45605n,0.12196986134652252,0.7953994991945275,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.5, 0.48, 0.02]","[2.0, 3.0, 2.0]","[50.0, 48.0, 2.0]"
96956c,0.1191097905896709,0.600448349171274,"[0.375, 0.375, 0.25]","[0.07, 0.7, 0.23]","[3.0, 3.0, 2.0]","[7.0, 70.0, 23.0]"
88050c,0.30632971524254704,1.7274111826360885,"[0.0, 0.5, 0.5]","[0.21, 0.03, 0.76]","[0.0, 2.0, 2.0]","[21.0, 3.0, 76.0]"
