uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
85279n,0.19986685833960266,1.1897835844511961,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.2, 0.78, 0.02]","[0.0, 0.0, 0.0]","[20.0, 78.0, 2.0]"
49611e,0.12810909974385212,0.799808583978298,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.45, 0.52, 0.03]","[0.0, 0.0, 0.0]","[45.0, 52.0, 3.0]"
41975c,0.0997369878597726,0.4133477093844851,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.14, 0.7, 0.16]","[0.0, 0.0, 0.0]","[14.0, 70.0, 16.0]"
138448c,0.23645279766002797,0.736965594092092,"[0.0, 0.0, 1.0]","[0.35, 0.05, 0.6]","[0.0, 0.0, 1.0]","[35.0, 5.0, 60.0]"
117576e,0.1544367280289234,0.8919463958564847,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.69, 0.28, 0.03]","[0.0, 0.0, 0.0]","[69.0, 28.0, 3.0]"
21810n,0.0542494913218076,0.25580757925332553,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.46, 0.43, 0.11]","[0.0, 0.0, 0.0]","[46.0, 43.0, 11.0]"
63469c,0.16307748702607822,1.0521318554198564,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.02, 0.67, 0.31]","[0.0, 0.0, 0.0]","[2.0, 67.0, 31.0]"
80109n,0.023260569963919855,0.09181234489750945,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.51, 0.25, 0.24]","[0.0, 0.0, 0.0]","[51.0, 25.0, 24.0]"
51353c,0.04777945389847887,0.20148485145487954,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.15, 0.29, 0.56]","[0.0, 0.0, 0.0]","[15.0, 29.0, 56.0]"
3545n,0.14996447109723796,0.6676679769489176,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.15, 0.77, 0.08]","[0.0, 0.0, 0.0]","[15.0, 77.0, 8.0]"
917c,0.0542494913218076,0.25580757925332553,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.11, 0.46, 0.43]","[0.0, 0.0, 0.0]","[11.0, 46.0, 43.0]"
54327n,0.1652823413807596,1.3171578766972685,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.01, 0.57, 0.42]","[0.0, 0.0, 0.0]","[1.0, 57.0, 42.0]"
128176e,0.09645496938441486,0.5083188780132776,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.55, 0.39, 0.06]","[0.0, 0.0, 0.0]","[55.0, 39.0, 6.0]"
118999n,0.17380009740472288,1.0906821484786149,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.71, 0.27, 0.02]","[0.0, 0.0, 0.0]","[71.0, 27.0, 2.0]"
19803e,0.05189916032131562,0.1520030933746032,"[1.0, 0.0, 0.0]","[0.9, 0.08, 0.02]","[1.0, 0.0, 0.0]","[90.0, 8.0, 2.0]"
49462c,0.10792282122729854,0.46784728681150234,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.1, 0.2, 0.7]","[0.0, 0.0, 0.0]","[10.0, 20.0, 70.0]"
15771c,0.13748173681913,0.5896274056436366,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.11, 0.13, 0.76]","[0.0, 0.0, 0.0]","[11.0, 13.0, 76.0]"
145047e,0.17651963187933065,1.355616804252121,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.34, 0.65, 0.01]","[0.0, 0.0, 0.0]","[34.0, 65.0, 1.0]"
77893n,0.1636908863409859,0.9259791250626551,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.72, 0.25, 0.03]","[0.0, 0.0, 0.0]","[72.0, 25.0, 3.0]"
38475c,0.15867665546733242,1.0366397115724617,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.02, 0.65, 0.33]","[0.0, 0.0, 0.0]","[2.0, 65.0, 33.0]"
112547n,0.114213658028265,0.6691274571149282,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.49, 0.47, 0.04]","[0.0, 0.0, 0.0]","[49.0, 47.0, 4.0]"
42983e,0.22075247599535863,12.472894030884165,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.72, 0.28, 0.0]","[0.0, 0.0, 0.0]","[72.0, 28.0, 0.0]"
130680e,0.32060345968201587,12.906080791501614,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.91, 0.09, 0.0]","[0.0, 0.0, 0.0]","[91.0, 9.0, 0.0]"
124590c,0.24863691316946174,1.4223844418008387,"[0.5, 0.0, 0.5]","[0.04, 0.09, 0.87]","[1.0, 0.0, 1.0]","[4.0, 9.0, 87.0]"
13911n,0.04829973243052458,0.21550620464349465,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.13, 0.35, 0.52]","[0.0, 0.0, 0.0]","[13.0, 35.0, 52.0]"
82230e,0.15669959677295364,1.0297394086179952,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.64, 0.34, 0.02]","[0.0, 0.0, 0.0]","[64.0, 34.0, 2.0]"
81356e,0.0974595219422301,0.43950191885938916,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.66, 0.09, 0.25]","[0.0, 0.0, 0.0]","[66.0, 9.0, 25.0]"
111243n,0.21572707811953618,1.4996538084643958,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.78, 0.21, 0.01]","[0.0, 0.0, 0.0]","[78.0, 21.0, 1.0]"
65650e,0.1631494789304898,1.3099801561807294,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.54, 0.45, 0.01]","[0.0, 0.0, 0.0]","[54.0, 45.0, 1.0]"
127290n,0.12224271160237016,0.5721603906967705,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.23, 0.7, 0.07]","[0.0, 0.0, 0.0]","[23.0, 70.0, 7.0]"
24163e,0.16307748702607827,1.0521318554198564,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.67, 0.31, 0.02]","[0.0, 0.0, 0.0]","[67.0, 31.0, 2.0]"
19921n,0.2259367836224977,1.2982503467154798,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.83, 0.15, 0.02]","[0.0, 0.0, 0.0]","[83.0, 15.0, 2.0]"
47408n,0.114213658028265,0.6691274571149282,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.47, 0.49, 0.04]","[0.0, 0.0, 0.0]","[47.0, 49.0, 4.0]"
109679n,0.28279177063430627,12.720780779796705,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.86, 0.14, 0.0]","[0.0, 0.0, 0.0]","[86.0, 14.0, 0.0]"
113668n,0.20616715833035576,12.42136835184796,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.66, 0.34, 0.0]","[0.0, 0.0, 0.0]","[66.0, 34.0, 0.0]"
107252c,0.19784915334399755,1.0607758767553326,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.03, 0.8, 0.17]","[0.0, 0.0, 0.0]","[3.0, 80.0, 17.0]"
49807n,0.12781665138193649,0.6604362865802449,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.28, 0.67, 0.05]","[0.0, 0.0, 0.0]","[28.0, 67.0, 5.0]"
72870c,0.1424268756498424,0.8491081490156684,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.03, 0.33, 0.64]","[0.0, 0.0, 0.0]","[3.0, 33.0, 64.0]"
15537n,0.1029280474983796,0.47728240988422366,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.66, 0.26, 0.08]","[0.0, 0.0, 0.0]","[66.0, 26.0, 8.0]"
118415n,0.1045012137374903,0.5781716983048534,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.53, 0.42, 0.05]","[0.0, 0.0, 0.0]","[53.0, 42.0, 5.0]"
127073c,0.12750205601730474,0.797757841651102,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.03, 0.47, 0.5]","[0.0, 0.0, 0.0]","[3.0, 47.0, 50.0]"
24126n,0.12581000123144667,0.3770696490420269,"[1.0, 0.0, 0.0]","[0.77, 0.23, 0.0]","[1.0, 0.0, 0.0]","[77.0, 23.0, 0.0]"
66185c,0.13543260690581635,0.5926457917379531,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.75, 0.16, 0.09]","[0.0, 0.0, 0.0]","[75.0, 16.0, 9.0]"
120070n,0.11617867075851952,0.6187208475036714,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.62, 0.33, 0.05]","[0.0, 0.0, 0.0]","[62.0, 33.0, 5.0]"
837n,0.2294148959617761,0.7131188521389815,"[1.0, 0.0, 0.0]","[0.61, 0.37, 0.02]","[1.0, 0.0, 0.0]","[61.0, 37.0, 2.0]"
129185n,0.14580218765391834,0.9923362407560367,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.56, 0.42, 0.02]","[0.0, 0.0, 0.0]","[56.0, 42.0, 2.0]"
124839c,0.1620907425189557,1.306431074780897,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.01, 0.48, 0.51]","[0.0, 0.0, 0.0]","[1.0, 48.0, 51.0]"
90548e,0.19386486474941425,1.4172895211430157,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.72, 0.27, 0.01]","[0.0, 0.0, 0.0]","[72.0, 27.0, 1.0]"
48222n,0.1636908863409859,0.9259791250626551,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.72, 0.25, 0.03]","[0.0, 0.0, 0.0]","[72.0, 25.0, 3.0]"
120955n,0.117190936485465,0.67925644966495,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.04, 0.41, 0.55]","[0.0, 0.0, 0.0]","[4.0, 41.0, 55.0]"
48454c,0.0260830278464558,0.11367512543982136,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.4, 0.43, 0.17]","[0.0, 0.0, 0.0]","[40.0, 43.0, 17.0]"
69815n,0.20198180736881213,0.6214883766745889,"[0.0, 1.0, 0.0]","[0.01, 0.65, 0.34]","[0.0, 1.0, 0.0]","[1.0, 65.0, 34.0]"
128160n,0.15961292179899758,0.7256777768732571,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.78, 0.15, 0.07]","[0.0, 0.0, 0.0]","[78.0, 15.0, 7.0]"
55572n,0.02088578999266678,0.08247421950767109,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.24, 0.5, 0.26]","[0.0, 0.0, 0.0]","[24.0, 50.0, 26.0]"
13133n,0.12750205601730474,0.797757841651102,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.5, 0.47, 0.03]","[0.0, 0.0, 0.0]","[50.0, 47.0, 3.0]"
48553c,0.12859594468304578,0.8014554977350529,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.03, 0.53, 0.44]","[0.0, 0.0, 0.0]","[3.0, 53.0, 44.0]"
143789n,0.24411312109062722,1.1959888105170287,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.88, 0.07, 0.05]","[0.0, 0.0, 0.0]","[88.0, 7.0, 5.0]"
142729c,0.16029092773874035,0.7060042722698643,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.09, 0.12, 0.79]","[0.0, 0.0, 0.0]","[9.0, 12.0, 79.0]"
33822n,0.17211962197805242,0.7823194440203867,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.07, 0.8, 0.13]","[0.0, 0.0, 0.0]","[7.0, 80.0, 13.0]"
63218n,0.17083123484589105,0.9529010815729448,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.23, 0.74, 0.03]","[0.0, 0.0, 0.0]","[23.0, 74.0, 3.0]"
43094c,0.31127812445913294,0.9999999999275043,"[0.0, 1.0, 0.0]","[0.01, 0.5, 0.49]","[0.0, 1.0, 0.0]","[1.0, 50.0, 49.0]"
73444n,0.13080020167226764,0.8089372132433135,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.56, 0.41, 0.03]","[0.0, 0.0, 0.0]","[56.0, 41.0, 3.0]"
53619c,0.10393986697648945,0.5037817166550693,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.07, 0.29, 0.64]","[0.0, 0.0, 0.0]","[7.0, 29.0, 64.0]"
35809n,0.1273808481276537,0.7973487405231017,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.48, 0.49, 0.03]","[0.0, 0.0, 0.0]","[48.0, 49.0, 3.0]"
105179c,0.08328497350330238,0.43083684934743677,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.07, 0.45, 0.48]","[0.0, 0.0, 0.0]","[7.0, 45.0, 48.0]"
25304n,0.04165291685257394,0.16610033401668334,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.23, 0.2, 0.57]","[0.0, 0.0, 0.0]","[23.0, 20.0, 57.0]"
43440n,0.07135567200235553,0.29249101625676677,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.15, 0.64, 0.21]","[0.0, 0.0, 0.0]","[15.0, 64.0, 21.0]"
129601e,0.051899160321315606,0.15200309340850054,"[1.0, 0.0, 0.0]","[0.9, 0.1, 0.0]","[2.0, 0.0, 0.0]","[90.0, 10.0, 0.0]"
91106n,0.13704211181596285,0.830352075800115,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.61, 0.36, 0.03]","[0.0, 0.0, 0.0]","[61.0, 36.0, 3.0]"
