uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
113193n,0.1548195597166066,10.036428853934297,"[0.45454545454545453, 0.2727272727272727, 0.2727272727272727]","[0.69, 0.31, 0.0]","[5.0, 3.0, 3.0]","[69.0, 31.0, 0.0]"
59934n,0.03692949740297482,0.1561160890636107,"[0.16666666666666666, 0.5, 0.3333333333333333]","[0.3, 0.54, 0.16]","[1.0, 3.0, 2.0]","[30.0, 54.0, 16.0]"
65130n,0.08336253768024374,0.44321071155124386,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.47, 0.48, 0.05]","[2.0, 3.0, 2.0]","[47.0, 48.0, 5.0]"
24163e,0.1731781171177472,1.1942455412755961,"[0.375, 0.25, 0.375]","[0.67, 0.31, 0.02]","[3.0, 2.0, 3.0]","[67.0, 31.0, 2.0]"
135898c,0.07072327099414032,0.3260723658952154,"[0.375, 0.25, 0.375]","[0.12, 0.44, 0.44]","[3.0, 2.0, 3.0]","[12.0, 44.0, 44.0]"
57454c,0.11910269683187984,7.2910909690493915,"[0.2, 0.4, 0.4]","[0.0, 0.63, 0.37]","[1.0, 2.0, 2.0]","[0.0, 63.0, 37.0]"
30894c,0.1441007016537631,0.843299370102963,"[0.375, 0.375, 0.25]","[0.04, 0.67, 0.29]","[3.0, 3.0, 2.0]","[4.0, 67.0, 29.0]"
91106n,0.13704211181596282,0.830352075800115,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.61, 0.36, 0.03]","[2.0, 2.0, 2.0]","[61.0, 36.0, 3.0]"
40710n,0.19709215856630213,10.191803688642347,"[0.36363636363636365, 0.36363636363636365, 0.2727272727272727]","[0.76, 0.24, 0.0]","[4.0, 4.0, 3.0]","[76.0, 24.0, 0.0]"
114492n,0.08416809110833659,0.387752924551028,"[0.375, 0.375, 0.25]","[0.11, 0.66, 0.23]","[3.0, 3.0, 2.0]","[11.0, 66.0, 23.0]"
1073c,0.1900162437086206,1.0168283490156245,"[0.375, 0.375, 0.25]","[0.04, 0.83, 0.13]","[3.0, 3.0, 2.0]","[4.0, 83.0, 13.0]"
135251n,0.17691478359271093,1.1021054491735056,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.72, 0.26, 0.02]","[2.0, 2.0, 2.0]","[72.0, 26.0, 2.0]"
31113e,0.05270169344983553,0.2072409286365784,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.28, 0.55, 0.17]","[3.0, 2.0, 2.0]","[28.0, 55.0, 17.0]"
74377e,0.031494089728770686,0.1681492669201255,"[0.5555555555555556, 0.3333333333333333, 0.1111111111111111]","[0.69, 0.29, 0.02]","[5.0, 3.0, 1.0]","[69.0, 29.0, 2.0]"
49807n,0.14143903313541567,0.8052501963304526,"[0.2, 0.4, 0.4]","[0.28, 0.67, 0.05]","[1.0, 2.0, 2.0]","[28.0, 67.0, 5.0]"
83248c,0.07145071947365045,0.3174592859275548,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.11, 0.29, 0.6]","[2.0, 2.0, 2.0]","[11.0, 29.0, 60.0]"
124839c,0.16209074251895572,1.306431074780897,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.01, 0.48, 0.51]","[2.0, 2.0, 2.0]","[1.0, 48.0, 51.0]"
123267e,0.16528234138075965,1.3171578766972685,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.42, 0.57, 0.01]","[3.0, 3.0, 3.0]","[42.0, 57.0, 1.0]"
18189e,0.06892744371277167,0.36036451166544003,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.38, 0.56, 0.06]","[2.0, 3.0, 2.0]","[38.0, 56.0, 6.0]"
13765c,0.04935624245121888,0.23449742366979154,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.09, 0.6, 0.31]","[2.0, 3.0, 2.0]","[9.0, 60.0, 31.0]"
79141n,0.2700860864873235,15.701754952845778,"[0.3333333333333333, 0.25, 0.4166666666666667]","[0.76, 0.24, 0.0]","[4.0, 3.0, 5.0]","[76.0, 24.0, 0.0]"
109876n,0.011231917324714761,0.044693728482462725,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.45, 0.3]","[2.0, 2.0, 2.0]","[25.0, 45.0, 30.0]"
105179c,0.06900233513251836,0.2923467602451174,"[0.2222222222222222, 0.5555555555555556, 0.2222222222222222]","[0.07, 0.45, 0.48]","[2.0, 5.0, 2.0]","[7.0, 45.0, 48.0]"
123038e,0.15808828755574014,0.73563862638862,"[0.25, 0.375, 0.375]","[0.66, 0.27, 0.07]","[2.0, 3.0, 3.0]","[66.0, 27.0, 7.0]"
62273n,0.03940941853404348,0.18990659827135375,"[0.375, 0.375, 0.25]","[0.46, 0.46, 0.08]","[3.0, 3.0, 2.0]","[46.0, 46.0, 8.0]"
23414c,0.06783875470925292,0.3091916272782557,"[0.36363636363636365, 0.2727272727272727, 0.36363636363636365]","[0.4, 0.48, 0.12]","[4.0, 3.0, 4.0]","[40.0, 48.0, 12.0]"
5193n,0.3876753781137942,10.901389569995516,"[0.375, 0.375, 0.25]","[0.99, 0.01, 0.0]","[3.0, 3.0, 2.0]","[99.0, 1.0, 0.0]"
109679n,0.14744792618954508,6.239004412893968,"[0.5, 0.3333333333333333, 0.16666666666666666]","[0.86, 0.14, 0.0]","[3.0, 2.0, 1.0]","[86.0, 14.0, 0.0]"
5087e,0.10669761284752985,0.6149230629886753,"[0.4444444444444444, 0.3333333333333333, 0.2222222222222222]","[0.75, 0.23, 0.02]","[4.0, 3.0, 2.0]","[75.0, 23.0, 2.0]"
23769n,0.1951843492119348,10.648454752839626,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.36, 0.64, 0.0]","[3.0, 2.0, 2.0]","[36.0, 64.0, 0.0]"
20181n,0.22644595356782377,1.311586723496988,"[0.4166666666666667, 0.25, 0.3333333333333333]","[0.03, 0.7, 0.27]","[5.0, 3.0, 4.0]","[3.0, 70.0, 27.0]"
77590c,0.09977057487656762,0.4135384283620044,"[0.4444444444444444, 0.3333333333333333, 0.2222222222222222]","[0.19, 0.7, 0.11]","[4.0, 3.0, 2.0]","[19.0, 70.0, 11.0]"
108027n,0.10613010182557618,0.570542683912227,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.04, 0.73, 0.23]","[2.0, 3.0, 2.0]","[4.0, 73.0, 23.0]"
11618c,0.30397164823205586,12.820265655514754,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.0, 0.11, 0.89]","[2.0, 2.0, 2.0]","[0.0, 11.0, 89.0]"
86429n,0.1831925466886111,1.0010013102740336,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.03, 0.77, 0.2]","[2.0, 2.0, 2.0]","[3.0, 77.0, 20.0]"
3476n,0.08665360320903451,0.37059660727256205,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.31, 0.6, 0.09]","[3.0, 2.0, 2.0]","[31.0, 60.0, 9.0]"
29844c,0.16231919571161463,10.533881693657339,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.0, 0.54, 0.46]","[2.0, 3.0, 2.0]","[0.0, 54.0, 46.0]"
53619c,0.10393986697648948,0.5037817166550693,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.07, 0.29, 0.64]","[2.0, 2.0, 2.0]","[7.0, 29.0, 64.0]"
54458n,0.3220794953344458,14.361873102919468,"[0.25, 0.375, 0.375]","[0.81, 0.19, 0.0]","[2.0, 3.0, 3.0]","[81.0, 19.0, 0.0]"
23751e,0.22251509923715648,1.378946534706539,"[0.375, 0.25, 0.375]","[0.85, 0.13, 0.02]","[3.0, 2.0, 3.0]","[85.0, 13.0, 2.0]"
67571c,0.11331009828098226,0.867281315724766,"[0.25, 0.375, 0.375]","[0.01, 0.44, 0.55]","[2.0, 3.0, 3.0]","[1.0, 44.0, 55.0]"
90548e,0.19386486474941425,1.4172895211430157,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.72, 0.27, 0.01]","[3.0, 3.0, 3.0]","[72.0, 27.0, 1.0]"
76219n,0.09757347973004386,0.4621688390700511,"[0.375, 0.375, 0.25]","[0.7, 0.25, 0.05]","[3.0, 3.0, 2.0]","[70.0, 25.0, 5.0]"
32754e,0.1655395989313889,0.8981331541781857,"[0.375, 0.375, 0.25]","[0.8, 0.18, 0.02]","[3.0, 3.0, 2.0]","[80.0, 18.0, 2.0]"
121910c,0.07376085792112774,0.2930005191840413,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.6, 0.23, 0.17]","[2.0, 3.0, 2.0]","[60.0, 23.0, 17.0]"
124590c,0.23808577234573217,1.1879375232798615,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.04, 0.09, 0.87]","[2.0, 2.0, 2.0]","[4.0, 9.0, 87.0]"
34573n,0.009403513660898897,0.038405598720479606,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.43, 0.2, 0.37]","[3.0, 2.0, 2.0]","[43.0, 20.0, 37.0]"
128176e,0.09645496938441482,0.5083188780132776,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.55, 0.39, 0.06]","[2.0, 2.0, 2.0]","[55.0, 39.0, 6.0]"
19c,0.020381338985399008,0.08345319602613933,"[0.14285714285714285, 0.42857142857142855, 0.42857142857142855]","[0.08, 0.59, 0.33]","[1.0, 3.0, 3.0]","[8.0, 59.0, 33.0]"
107399c,0.1655101375252849,1.0607758767484379,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.02, 0.68, 0.3]","[2.0, 2.0, 2.0]","[2.0, 68.0, 30.0]"
88605n,0.08120973165928665,0.4442300456676667,"[0.3333333333333333, 0.4444444444444444, 0.2222222222222222]","[0.56, 0.41, 0.03]","[3.0, 4.0, 2.0]","[56.0, 41.0, 3.0]"
22938e,0.14675340577176535,0.8643760455533513,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.66, 0.31, 0.03]","[3.0, 3.0, 3.0]","[66.0, 31.0, 3.0]"
22587e,0.19877449168392824,1.2890041159016408,"[0.45454545454545453, 0.2727272727272727, 0.2727272727272727]","[0.9, 0.09, 0.01]","[5.0, 3.0, 3.0]","[90.0, 9.0, 1.0]"
94674c,0.05303725423430098,0.31964063867497455,"[0.16666666666666666, 0.5, 0.3333333333333333]","[0.02, 0.63, 0.35]","[1.0, 3.0, 2.0]","[2.0, 63.0, 35.0]"
21297n,0.1313067743933932,0.8303016111064866,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.24, 0.74, 0.02]","[2.0, 3.0, 2.0]","[24.0, 74.0, 2.0]"
134217e,0.040538873038696806,0.1940129606065497,"[0.375, 0.375, 0.25]","[0.5, 0.42, 0.08]","[3.0, 3.0, 2.0]","[50.0, 42.0, 8.0]"
77116e,0.07867830987861592,5.115300074412715,"[0.42857142857142855, 0.42857142857142855, 0.14285714285714285]","[0.43, 0.57, 0.0]","[3.0, 3.0, 1.0]","[43.0, 57.0, 0.0]"
111338e,0.19226187700245506,10.638005475759682,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.63, 0.37, 0.0]","[2.0, 3.0, 2.0]","[63.0, 37.0, 0.0]"
64123c,0.34427861933597603,1.9144204300526373,"[0.42857142857142855, 0.42857142857142855, 0.14285714285714285]","[0.02, 0.24, 0.74]","[3.0, 3.0, 1.0]","[2.0, 24.0, 74.0]"
21810n,0.040112386958628066,0.1811882516180322,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.46, 0.43, 0.11]","[3.0, 2.0, 2.0]","[46.0, 43.0, 11.0]"
10119e,0.21242355789497672,1.2227836292109322,"[0.2, 0.4, 0.4]","[0.6, 0.37, 0.03]","[1.0, 2.0, 2.0]","[60.0, 37.0, 3.0]"
82510e,0.10823630446294258,0.49142426806148193,"[0.2222222222222222, 0.4444444444444444, 0.3333333333333333]","[0.53, 0.39, 0.08]","[2.0, 4.0, 3.0]","[53.0, 39.0, 8.0]"
15537n,0.06938433715421913,0.3032653762515378,"[0.375, 0.375, 0.25]","[0.66, 0.26, 0.08]","[3.0, 3.0, 2.0]","[66.0, 26.0, 8.0]"
25304n,0.07843428031455299,0.3072967926693268,"[0.375, 0.375, 0.25]","[0.23, 0.2, 0.57]","[3.0, 3.0, 2.0]","[23.0, 20.0, 57.0]"
82510c,0.03843299632886455,0.15953594477663557,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.23, 0.3, 0.47]","[3.0, 2.0, 2.0]","[23.0, 30.0, 47.0]"
127290n,0.13164875737814716,0.5824894311931728,"[0.4, 0.3, 0.3]","[0.23, 0.7, 0.07]","[4.0, 3.0, 3.0]","[23.0, 70.0, 7.0]"
102857n,0.11260921926503213,0.6061931199009726,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.6, 0.35, 0.05]","[3.0, 3.0, 3.0]","[60.0, 35.0, 5.0]"
17179n,0.16068429945702326,10.528315967492631,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.63, 0.37, 0.0]","[3.0, 2.0, 2.0]","[63.0, 37.0, 0.0]"
123751n,0.19910710055361455,0.9863589571561395,"[0.3076923076923077, 0.23076923076923078, 0.46153846153846156]","[0.78, 0.15, 0.07]","[4.0, 3.0, 6.0]","[78.0, 15.0, 7.0]"
98561e,0.16631628415241598,5.486801794163537,"[0.42857142857142855, 0.42857142857142855, 0.14285714285714285]","[0.84, 0.16, 0.0]","[3.0, 3.0, 1.0]","[84.0, 16.0, 0.0]"
14388e,0.10717056457149508,0.587331943778877,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.56, 0.39, 0.05]","[3.0, 3.0, 3.0]","[56.0, 39.0, 5.0]"
26495e,0.033736598952050084,0.15034959613102622,"[0.5555555555555556, 0.3333333333333333, 0.1111111111111111]","[0.71, 0.15, 0.14]","[5.0, 3.0, 1.0]","[71.0, 15.0, 14.0]"
