uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
91797c,0.18643069643156976,1.3077424867129919,"[0.4, 0.2, 0.4]","[0.02, 0.37, 0.61]","[2.0, 1.0, 2.0]","[2.0, 37.0, 61.0]"
91106n,0.0757010386003918,0.3586729093807661,"[0.3333333333333333, 0.5, 0.16666666666666666]","[0.61, 0.36, 0.03]","[2.0, 3.0, 1.0]","[61.0, 36.0, 3.0]"
83248c,0.07145071947365045,0.3174592859275548,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.11, 0.29, 0.6]","[2.0, 2.0, 2.0]","[11.0, 29.0, 60.0]"
89995c,0.1908986844273212,0.7650044660922856,"[0.16666666666666666, 0.3333333333333333, 0.5]","[0.65, 0.19, 0.16]","[1.0, 2.0, 3.0]","[65.0, 19.0, 16.0]"
125013e,0.08696655370527652,0.368860418182916,"[0.4, 0.6, 0.0]","[0.74, 0.26, 0.0]","[2.0, 3.0, 0.0]","[74.0, 26.0, 0.0]"
30894c,0.3819078387387681,2.046469919082416,"[0.6, 0.4, 0.0]","[0.04, 0.67, 0.29]","[3.0, 2.0, 0.0]","[4.0, 67.0, 29.0]"
46198c,0.03225888622409207,0.17192041917012924,"[0.14285714285714285, 0.42857142857142855, 0.42857142857142855]","[0.03, 0.45, 0.52]","[1.0, 3.0, 3.0]","[3.0, 45.0, 52.0]"
111243n,0.17109988703246534,0.8934154883843325,"[0.3333333333333333, 0.5, 0.16666666666666666]","[0.78, 0.21, 0.01]","[2.0, 3.0, 1.0]","[78.0, 21.0, 1.0]"
15100e,0.06276448651079403,0.18442457110061097,"[1.0, 0.0, 0.0]","[0.88, 0.12, 0.0]","[3.0, 0.0, 0.0]","[88.0, 12.0, 0.0]"
129185n,0.13227506781762477,0.8312477519460937,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.56, 0.42, 0.02]","[2.0, 3.0, 2.0]","[56.0, 42.0, 2.0]"
82510e,0.07807785431992337,0.3877861312424256,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.53, 0.39, 0.08]","[2.0, 2.0, 2.0]","[53.0, 39.0, 8.0]"
22938e,0.03921035404335267,0.1445609748670108,"[0.5, 0.5, 0.0]","[0.66, 0.31, 0.03]","[3.0, 3.0, 0.0]","[66.0, 31.0, 3.0]"
100136e,0.18158863762678798,1.3042664325249047,"[0.3125, 0.375, 0.3125]","[0.68, 0.31, 0.01]","[5.0, 6.0, 5.0]","[68.0, 31.0, 1.0]"
69975n,0.289832848858685,1.2025346650505913,"[0.5, 0.5, 0.0]","[0.08, 0.59, 0.33]","[2.0, 2.0, 0.0]","[8.0, 59.0, 33.0]"
113967e,0.18358494186986563,0.7590108599511035,"[0.4, 0.6, 0.0]","[0.08, 0.73, 0.19]","[2.0, 3.0, 0.0]","[8.0, 73.0, 19.0]"
110234e,0.03888175960254891,0.1698245882112675,"[0.6, 0.4, 0.0]","[0.81, 0.19, 0.0]","[3.0, 2.0, 0.0]","[81.0, 19.0, 0.0]"
125238c,0.05010065635771834,0.2305355011528284,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.12, 0.49, 0.39]","[2.0, 2.0, 2.0]","[12.0, 49.0, 39.0]"
6105e,0.04440740716620342,0.16346092845220048,"[0.6, 0.4, 0.0]","[0.74, 0.22, 0.04]","[3.0, 2.0, 0.0]","[74.0, 22.0, 4.0]"
144408n,0.11623361317719381,0.35864346211777653,"[0.0, 0.6, 0.4]","[0.2, 0.39, 0.41]","[0.0, 3.0, 2.0]","[20.0, 39.0, 41.0]"
