uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
11362e,0.23874270666545772,1.0860634915831842,"[0.3333333333333333, 0.6666666666666666, 0.0]","[0.79, 0.14, 0.07]","[1.0, 2.0, 0.0]","[79.0, 14.0, 7.0]"
34776c,0.1101199134650178,0.4314367567089874,"[0.2222222222222222, 0.2222222222222222, 0.5555555555555556]","[0.1, 0.6, 0.3]","[2.0, 2.0, 5.0]","[10.0, 60.0, 30.0]"
93955n,0.02038304601299548,0.07883497270220831,"[0.6, 0.4, 0.0]","[0.73, 0.26, 0.01]","[3.0, 2.0, 0.0]","[73.0, 26.0, 1.0]"
117093n,0.011937262849846766,0.03669662934010603,"[0.5, 0.5, 0.0]","[0.54, 0.44, 0.02]","[4.0, 4.0, 0.0]","[54.0, 44.0, 2.0]"
28601n,0.018391520791431852,0.0711864021857324,"[0.6666666666666666, 0.3333333333333333, 0.0]","[0.78, 0.21, 0.01]","[2.0, 1.0, 0.0]","[78.0, 21.0, 1.0]"
111338c,0.25863939342580905,1.6054483911945328,"[0.5, 0.0, 0.5]","[0.03, 0.07, 0.9]","[2.0, 0.0, 2.0]","[3.0, 7.0, 90.0]"
113193n,0.1548195597166066,10.036428853934297,"[0.45454545454545453, 0.2727272727272727, 0.2727272727272727]","[0.69, 0.31, 0.0]","[5.0, 3.0, 3.0]","[69.0, 31.0, 0.0]"
67610c,0.327323604495017,1.0588936889777192,"[1.0, 0.0, 0.0]","[0.48, 0.12, 0.4]","[2.0, 0.0, 0.0]","[48.0, 12.0, 40.0]"
14459n,0.0635286521985647,0.2387493663794787,"[0.6, 0.4, 0.0]","[0.34, 0.62, 0.04]","[3.0, 2.0, 0.0]","[34.0, 62.0, 4.0]"
79141n,0.0016833158260233642,0.006593583988238366,"[0.8, 0.2, 0.0]","[0.76, 0.24, 0.0]","[4.0, 1.0, 0.0]","[76.0, 24.0, 0.0]"
11601n,0.03247770768413347,0.15370938934475561,"[0.16666666666666666, 0.3333333333333333, 0.5]","[0.05, 0.47, 0.48]","[1.0, 2.0, 3.0]","[5.0, 47.0, 48.0]"
61818n,0.11818737760946466,0.6258243495854635,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.63, 0.32, 0.05]","[3.0, 3.0, 3.0]","[63.0, 32.0, 5.0]"
8257n,0.029866285422570735,0.11324857561974998,"[0.6, 0.4, 0.0]","[0.74, 0.24, 0.02]","[3.0, 2.0, 0.0]","[74.0, 24.0, 2.0]"
144408n,0.011460850804313106,0.04615424783266589,"[0.2857142857142857, 0.2857142857142857, 0.42857142857142855]","[0.2, 0.39, 0.41]","[2.0, 2.0, 3.0]","[20.0, 39.0, 41.0]"
139836n,0.09134227022914976,6.003237090835747,"[0.5, 0.3333333333333333, 0.16666666666666666]","[0.66, 0.34, 0.0]","[3.0, 2.0, 1.0]","[66.0, 34.0, 0.0]"
32754n,0.06343312345288014,0.19315685689566667,"[0.8, 0.2, 0.0]","[0.64, 0.25, 0.11]","[4.0, 1.0, 0.0]","[64.0, 25.0, 11.0]"
23751e,0.07763951647764697,0.34709514634532584,"[0.6, 0.4, 0.0]","[0.85, 0.13, 0.02]","[3.0, 2.0, 0.0]","[85.0, 13.0, 2.0]"
125238c,0.02246769626325132,0.09879541651820414,"[0.25, 0.375, 0.375]","[0.12, 0.49, 0.39]","[2.0, 3.0, 3.0]","[12.0, 49.0, 39.0]"
46059c,0.06978290488407658,0.30203124223638855,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.27, 0.12, 0.61]","[2.0, 2.0, 2.0]","[27.0, 12.0, 61.0]"
67836n,0.13455015536174084,1.0526238934788246,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.01, 0.65, 0.34]","[2.0, 3.0, 2.0]","[1.0, 65.0, 34.0]"
36811c,0.07775887250386473,0.3677230483230129,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.07, 0.4, 0.53]","[2.0, 3.0, 2.0]","[7.0, 40.0, 53.0]"
41975c,0.05509877982855899,0.22969106874668263,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.14, 0.7, 0.16]","[2.0, 3.0, 2.0]","[14.0, 70.0, 16.0]"
11297c,0.053151952994804734,0.22741118269173916,"[0.0, 0.5, 0.5]","[0.0, 0.24, 0.76]","[0.0, 2.0, 2.0]","[0.0, 24.0, 76.0]"
83247e,0.05309211446296326,0.19417635616243487,"[0.4, 0.6, 0.0]","[0.59, 0.37, 0.04]","[2.0, 3.0, 0.0]","[59.0, 37.0, 4.0]"
133274n,0.02826372208665558,0.12156812426297689,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.17, 0.36, 0.47]","[4.0, 4.0, 4.0]","[17.0, 36.0, 47.0]"
13387e,0.011968064073326328,0.036920037036811876,"[0.6666666666666666, 0.3333333333333333, 0.0]","[0.7, 0.28, 0.02]","[2.0, 1.0, 0.0]","[70.0, 28.0, 2.0]"
53074n,0.05901860454458027,0.19836613879384876,"[0.4, 0.6, 0.0]","[0.23, 0.69, 0.08]","[2.0, 3.0, 0.0]","[23.0, 69.0, 8.0]"
75572n,0.04726618984735372,0.14537925122818926,"[0.625, 0.375, 0.0]","[0.49, 0.43, 0.08]","[5.0, 3.0, 0.0]","[49.0, 43.0, 8.0]"
83722e,0.027984067252859065,0.08465055183640528,"[0.75, 0.25, 0.0]","[0.76, 0.19, 0.05]","[3.0, 1.0, 0.0]","[76.0, 19.0, 5.0]"
130928n,0.3034009788996592,0.9714308477288843,"[1.0, 0.0, 0.0]","[0.51, 0.45, 0.04]","[2.0, 0.0, 0.0]","[51.0, 45.0, 4.0]"
6386n,0.010031839477697648,0.034389024062563035,"[0.6666666666666666, 0.3333333333333333, 0.0]","[0.58, 0.41, 0.01]","[2.0, 1.0, 0.0]","[58.0, 41.0, 1.0]"
133005n,0.0754189857111374,0.3785688227784858,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.08, 0.49, 0.43]","[3.0, 3.0, 3.0]","[8.0, 49.0, 43.0]"
19668c,0.28739360936880837,1.0779277094289303,"[0.5, 0.0, 0.5]","[0.11, 0.38, 0.51]","[2.0, 0.0, 2.0]","[11.0, 38.0, 51.0]"
138448c,0.2059870579272432,1.1999001905999473,"[0.16666666666666666, 0.5, 0.3333333333333333]","[0.35, 0.05, 0.6]","[1.0, 3.0, 2.0]","[35.0, 5.0, 60.0]"
38477c,0.06401222976424409,0.41061926431303775,"[0.14285714285714285, 0.42857142857142855, 0.42857142857142855]","[0.01, 0.37, 0.62]","[1.0, 3.0, 3.0]","[1.0, 37.0, 62.0]"
58016c,0.07850956621339285,0.42304190968898664,"[0.25, 0.375, 0.375]","[0.04, 0.37, 0.59]","[2.0, 3.0, 3.0]","[4.0, 37.0, 59.0]"
84055n,0.03027616074364056,0.12344428014906943,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.19, 0.52, 0.29]","[2.0, 2.0, 2.0]","[19.0, 52.0, 29.0]"
14126e,0.20020295561232945,0.8076435187488641,"[0.5, 0.5, 0.0]","[0.12, 0.68, 0.2]","[2.0, 2.0, 0.0]","[12.0, 68.0, 20.0]"
76037n,0.3374638442890963,1.3513626864490462,"[0.6, 0.4, 0.0]","[0.11, 0.49, 0.4]","[3.0, 2.0, 0.0]","[11.0, 49.0, 40.0]"
28507n,0.08153525128221772,0.291157039368016,"[0.6666666666666666, 0.3333333333333333, 0.0]","[0.76, 0.14, 0.1]","[2.0, 1.0, 0.0]","[76.0, 14.0, 10.0]"
21957n,0.09190516854059075,0.4184953710075987,"[0.375, 0.375, 0.25]","[0.24, 0.7, 0.06]","[3.0, 3.0, 2.0]","[24.0, 70.0, 6.0]"
