uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
116176c,0.6101546982306455,2.916022064559177,"[0.0, 0.25, 0.75]","[0.69, 0.26, 0.05]","[0.0, 1.0, 3.0]","[69.0, 26.0, 5.0]"
56895c,0.6099865470109875,2.321928094806968,"[0.0, 1.0, 0.0]","[0.52, 0.2, 0.28]","[0.0, 1.0, 0.0]","[52.0, 20.0, 28.0]"
10229n,0.9021547608988224,5.058893688935068,"[1.0, 0.0, 0.0]","[0.03, 0.79, 0.18]","[3.0, 0.0, 0.0]","[3.0, 79.0, 18.0]"
23280e,0.2956175113869214,0.943416471559729,"[1.0, 0.0, 0.0]","[0.52, 0.45, 0.03]","[2.0, 0.0, 0.0]","[52.0, 45.0, 3.0]"
91913n,0.23645279766002797,0.7369655940923733,"[1.0, 0.0, 0.0]","[0.6, 0.36, 0.04]","[4.0, 0.0, 0.0]","[60.0, 36.0, 4.0]"
82700c,0.10549871586875294,0.5786879242476936,"[0.14285714285714285, 0.42857142857142855, 0.42857142857142855]","[0.01, 0.76, 0.23]","[1.0, 3.0, 3.0]","[1.0, 76.0, 23.0]"
74768e,0.05849009022145539,0.17317158678449182,"[0.6, 0.4, 0.0]","[0.57, 0.32, 0.11]","[3.0, 2.0, 0.0]","[57.0, 32.0, 11.0]"
127410n,0.12581000123144664,0.3770696490062868,"[0.0, 0.0, 1.0]","[0.12, 0.11, 0.77]","[0.0, 0.0, 3.0]","[12.0, 11.0, 77.0]"
82415n,0.39581560200335836,1.3219280948103744,"[1.0, 0.0, 0.0]","[0.4, 0.22, 0.38]","[1.0, 0.0, 0.0]","[40.0, 22.0, 38.0]"
108027n,0.5690321302585761,2.3820752116932886,"[0.5, 0.0, 0.5]","[0.04, 0.73, 0.23]","[2.0, 0.0, 2.0]","[4.0, 73.0, 23.0]"
45605n,0.5302070929097695,3.1776082923814966,"[0.3333333333333333, 0.0, 0.6666666666666666]","[0.5, 0.48, 0.02]","[1.0, 0.0, 2.0]","[50.0, 48.0, 2.0]"
77025c,0.3552371080765707,1.4005053855631402,"[0.6, 0.0, 0.4]","[0.11, 0.44, 0.45]","[3.0, 0.0, 2.0]","[11.0, 44.0, 45.0]"
139836n,0.19529542625770435,0.599462070377821,"[1.0, 0.0, 0.0]","[0.66, 0.34, 0.0]","[4.0, 0.0, 0.0]","[66.0, 34.0, 0.0]"
30380c,0.09618479301747589,0.3707349943056045,"[0.6, 0.0, 0.4]","[0.28, 0.06, 0.66]","[3.0, 0.0, 2.0]","[28.0, 6.0, 66.0]"
60732n,0.16919485510105411,0.514573172757409,"[1.0, 0.0, 0.0]","[0.7, 0.28, 0.02]","[4.0, 0.0, 0.0]","[70.0, 28.0, 2.0]"
80808n,0.18211882577831906,0.5563933484860435,"[1.0, 0.0, 0.0]","[0.68, 0.32, 0.0]","[3.0, 0.0, 0.0]","[68.0, 32.0, 0.0]"
1735n,0.07685546707261172,0.3049318243871275,"[0.2, 0.6, 0.2]","[0.21, 0.31, 0.48]","[1.0, 3.0, 1.0]","[21.0, 31.0, 48.0]"
132019n,0.15606399752278013,0.7680020622906683,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.75, 0.05, 0.2]","[1.0, 1.0, 1.0]","[75.0, 5.0, 20.0]"
72875e,0.06276448651079411,0.18442457106751722,"[1.0, 0.0, 0.0]","[0.88, 0.11, 0.01]","[3.0, 0.0, 0.0]","[88.0, 11.0, 1.0]"
33822e,0.060103056413522545,0.2226810180318777,"[0.5, 0.5, 0.0]","[0.68, 0.27, 0.05]","[3.0, 3.0, 0.0]","[68.0, 27.0, 5.0]"
91650n,0.035915901088899256,0.10469737859692899,"[1.0, 0.0, 0.0]","[0.93, 0.05, 0.02]","[3.0, 0.0, 0.0]","[93.0, 5.0, 2.0]"
19768c,0.4572791923454827,1.9192581119096013,"[0.3333333333333333, 0.6666666666666666, 0.0]","[0.02, 0.37, 0.61]","[1.0, 2.0, 0.0]","[2.0, 37.0, 61.0]"
11971n,0.0483460128207265,0.257979560172506,"[0.4, 0.4, 0.2]","[0.52, 0.44, 0.04]","[2.0, 2.0, 1.0]","[52.0, 44.0, 4.0]"
73260n,0.08480444094549341,0.30298059384056863,"[0.6, 0.4, 0.0]","[0.72, 0.18, 0.1]","[3.0, 2.0, 0.0]","[72.0, 18.0, 10.0]"
22587e,0.051899160321315606,0.15200309337543327,"[1.0, 0.0, 0.0]","[0.9, 0.09, 0.01]","[4.0, 0.0, 0.0]","[90.0, 9.0, 1.0]"
138966n,0.45758045720236346,1.5982901926570743,"[0.375, 0.0, 0.625]","[0.09, 0.66, 0.25]","[3.0, 0.0, 5.0]","[9.0, 66.0, 25.0]"
143789n,0.05936226827752431,0.22398607007640436,"[0.8333333333333334, 0.0, 0.16666666666666666]","[0.88, 0.07, 0.05]","[5.0, 0.0, 1.0]","[88.0, 7.0, 5.0]"
41052n,0.3844375995862599,2.6001247690462717,"[0.5, 0.0, 0.5]","[0.68, 0.31, 0.01]","[3.0, 0.0, 3.0]","[68.0, 31.0, 1.0]"
44747n,0.2121287176305521,0.8549440975061234,"[0.25, 0.75, 0.0]","[0.03, 0.69, 0.28]","[1.0, 3.0, 0.0]","[3.0, 69.0, 28.0]"
30894n,0.47023196398239425,2.414140380387109,"[0.5, 0.0, 0.5]","[0.44, 0.54, 0.02]","[2.0, 0.0, 2.0]","[44.0, 54.0, 2.0]"
23280n,0.5605218825340385,2.058893688975907,"[1.0, 0.0, 0.0]","[0.24, 0.7, 0.06]","[4.0, 0.0, 0.0]","[24.0, 70.0, 6.0]"
98844n,0.3779942988225778,1.2515387669192157,"[0.0, 0.0, 1.0]","[0.2, 0.38, 0.42]","[0.0, 0.0, 3.0]","[20.0, 38.0, 42.0]"
8257n,0.14406499878168014,0.4344028240736792,"[1.0, 0.0, 0.0]","[0.74, 0.24, 0.02]","[5.0, 0.0, 0.0]","[74.0, 24.0, 2.0]"
53499c,0.051922917414803225,0.15939780949783547,"[0.3333333333333333, 0.0, 0.6666666666666666]","[0.23, 0.09, 0.68]","[1.0, 0.0, 2.0]","[23.0, 9.0, 68.0]"
65066n,0.16810427761101968,1.0700585383994594,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.02, 0.69, 0.29]","[1.0, 1.0, 1.0]","[2.0, 69.0, 29.0]"
46576e,0.20864653057013818,0.8319998152549631,"[0.625, 0.0, 0.375]","[0.68, 0.25, 0.07]","[5.0, 0.0, 3.0]","[68.0, 25.0, 7.0]"
128160n,0.2931178073614809,1.4743317544953833,"[0.4, 0.0, 0.6]","[0.78, 0.15, 0.07]","[2.0, 0.0, 3.0]","[78.0, 15.0, 7.0]"
61818n,0.4835060541468506,1.9828921422820167,"[0.0, 0.5, 0.5]","[0.63, 0.32, 0.05]","[0.0, 2.0, 2.0]","[63.0, 32.0, 5.0]"
57454c,0.012438608972413957,0.05048954521018334,"[0.0, 0.5, 0.5]","[0.0, 0.63, 0.37]","[0.0, 1.0, 1.0]","[0.0, 63.0, 37.0]"
73191n,0.2294148959617761,0.7131188521377816,"[1.0, 0.0, 0.0]","[0.61, 0.34, 0.05]","[3.0, 0.0, 0.0]","[61.0, 34.0, 5.0]"
129464c,0.327323604495017,1.058893688979041,"[1.0, 0.0, 0.0]","[0.48, 0.48, 0.04]","[4.0, 0.0, 0.0]","[48.0, 48.0, 4.0]"
92774n,0.01826427992865857,0.06760023982724142,"[0.0, 0.6, 0.4]","[0.01, 0.46, 0.53]","[0.0, 3.0, 2.0]","[1.0, 46.0, 53.0]"
52278e,0.44788558620716057,3.572416482715275,"[0.3333333333333333, 0.0, 0.6666666666666666]","[0.88, 0.11, 0.01]","[1.0, 0.0, 2.0]","[88.0, 11.0, 1.0]"
12815n,0.26537374235093775,0.8365012676781449,"[1.0, 0.0, 0.0]","[0.56, 0.44, 0.0]","[1.0, 0.0, 0.0]","[56.0, 44.0, 0.0]"
73444n,0.26537374235093775,0.8365012676434426,"[1.0, 0.0, 0.0]","[0.56, 0.41, 0.03]","[4.0, 0.0, 0.0]","[56.0, 41.0, 3.0]"
102817c,0.15836109835455964,0.5251635432811088,"[0.0, 0.6666666666666666, 0.3333333333333333]","[0.23, 0.34, 0.43]","[0.0, 2.0, 1.0]","[23.0, 34.0, 43.0]"
82528c,0.44270209484342055,1.5145731727522396,"[1.0, 0.0, 0.0]","[0.35, 0.23, 0.42]","[4.0, 0.0, 0.0]","[35.0, 23.0, 42.0]"
49237c,0.3816876688154653,21.2155830392262,"[0.5555555555555556, 0.0, 0.4444444444444444]","[0.0, 0.09, 0.91]","[5.0, 0.0, 4.0]","[0.0, 9.0, 91.0]"
66858n,0.036783683667995073,0.10836492363495454,"[0.7777777777777778, 0.2222222222222222, 0.0]","[0.75, 0.18, 0.07]","[7.0, 2.0, 0.0]","[75.0, 18.0, 7.0]"
7856c,0.18574404360533667,0.6378784783110417,"[0.2857142857142857, 0.7142857142857143, 0.0]","[0.08, 0.64, 0.28]","[2.0, 5.0, 0.0]","[8.0, 64.0, 28.0]"
111243n,0.11983220668354519,0.3584539708415971,"[1.0, 0.0, 0.0]","[0.78, 0.21, 0.01]","[1.0, 0.0, 0.0]","[78.0, 21.0, 1.0]"
9557e,0.009533026800108474,0.03791514612913256,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714285]","[0.46, 0.38, 0.16]","[4.0, 2.0, 1.0]","[46.0, 38.0, 16.0]"
105561e,0.23645279766002802,0.7369655940910355,"[1.0, 0.0, 0.0]","[0.6, 0.14, 0.26]","[3.0, 0.0, 0.0]","[60.0, 14.0, 26.0]"
17576n,0.2434666002172079,1.2199730940157913,"[0.2, 0.2, 0.6]","[0.27, 0.64, 0.09]","[1.0, 1.0, 3.0]","[27.0, 64.0, 9.0]"
98445c,0.6120123028853234,2.446300775676084,"[0.4166666666666667, 0.0, 0.5833333333333334]","[0.04, 0.79, 0.17]","[5.0, 0.0, 7.0]","[4.0, 79.0, 17.0]"
117680c,0.13184072559510326,0.3959286762578863,"[0.0, 0.0, 1.0]","[0.18, 0.06, 0.76]","[0.0, 0.0, 1.0]","[18.0, 6.0, 76.0]"
123038e,0.22834554737114166,0.923327154839675,"[0.6, 0.0, 0.4]","[0.66, 0.27, 0.07]","[3.0, 0.0, 2.0]","[66.0, 27.0, 7.0]"
93357c,0.09207524579404086,6.005765253090915,"[0.16666666666666666, 0.3333333333333333, 0.5]","[0.0, 0.47, 0.53]","[1.0, 2.0, 3.0]","[0.0, 47.0, 53.0]"
123891c,0.23150486312861918,1.2274492387923766,"[0.42857142857142855, 0.14285714285714285, 0.42857142857142855]","[0.04, 0.56, 0.4]","[3.0, 1.0, 3.0]","[4.0, 56.0, 40.0]"
24385e,0.514957783975427,1.836501267640421,"[1.0, 0.0, 0.0]","[0.28, 0.67, 0.05]","[2.0, 0.0, 0.0]","[28.0, 67.0, 5.0]"
117089n,0.5189339899629521,2.3922270223055238,"[0.6666666666666666, 0.0, 0.3333333333333333]","[0.32, 0.67, 0.01]","[2.0, 0.0, 1.0]","[32.0, 67.0, 1.0]"
26495e,0.08550755148932876,0.2718046513506273,"[0.7142857142857143, 0.2857142857142857, 0.0]","[0.71, 0.15, 0.14]","[5.0, 2.0, 0.0]","[71.0, 15.0, 14.0]"
51353c,0.29335229199295276,1.1851816512542954,"[0.6666666666666666, 0.0, 0.3333333333333333]","[0.15, 0.29, 0.56]","[4.0, 0.0, 2.0]","[15.0, 29.0, 56.0]"
118415n,0.28792531568673146,0.9159357351370094,"[1.0, 0.0, 0.0]","[0.53, 0.42, 0.05]","[3.0, 0.0, 0.0]","[53.0, 42.0, 5.0]"
133243e,0.4894064393483576,1.849108148983526,"[0.3333333333333333, 0.0, 0.6666666666666666]","[0.22, 0.66, 0.12]","[1.0, 0.0, 2.0]","[22.0, 66.0, 12.0]"
19668c,0.06095607365430782,0.18367976203044553,"[0.0, 0.5, 0.5]","[0.11, 0.38, 0.51]","[0.0, 1.0, 1.0]","[11.0, 38.0, 51.0]"
