folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
103431n,E_second.txt,8,8,0.0,0.6175751090049744,0.6175751090049744,0.0
103431n,N_second.txt,8,8,0.0,0.38225987553596497,0.38225987553596497,0.0
103431n,C_second.txt,14,14,0.0,0.4266652464866638,0.4266652464866638,0.0
77654e,E_second.txt,5,5,0.0,0.657370388507843,0.657370388507843,0.0
77654e,N_second.txt,5,4,0.19999999999999996,0.5975732803344727,0.5471977591514587,0.050375521183013916
77654e,C_second.txt,4,4,0.0,0.5790827870368958,0.5790827870368958,0.0
81356e,E_second.txt,5,5,0.0,0.6300865411758423,0.6300865411758423,0.0
81356e,N_second.txt,7,6,0.1428571428571429,0.6433761119842529,0.6720607876777649,-0.028684675693511963
81356e,C_second.txt,3,2,0.33333333333333337,0.7632250785827637,0.6941860914230347,0.069038987159729
52761e,E_second.txt,5,5,0.0,0.6197002530097961,0.6197002530097961,0.0
52761e,N_second.txt,9,9,0.0,0.6021274328231812,0.6021274328231812,0.0
52761e,C_second.txt,5,5,0.0,0.6421502828598022,0.6421502828598022,0.0
31249e,E_second.txt,5,4,0.19999999999999996,0.5787610411643982,0.5283828377723694,0.05037820339202881
31249e,N_second.txt,7,7,0.0,0.35483813285827637,0.35483813285827637,0.0
31249e,C_second.txt,7,7,0.0,0.6965709924697876,0.6965709924697876,0.0
84781c,E_second.txt,4,4,0.0,0.6317973732948303,0.6317973732948303,0.0
84781c,N_second.txt,4,4,0.0,0.5353412628173828,0.5353412628173828,0.0
84781c,C_second.txt,3,3,0.0,0.7720587849617004,0.7720587849617004,0.0
32754n,E_second.txt,4,4,0.0,0.7272095680236816,0.7272095680236816,0.0
32754n,N_second.txt,2,1,0.5,0.9295330047607422,0.0,0.9295330047607422
32754n,C_second.txt,3,3,0.0,0.7771703600883484,0.7771703600883484,0.0
14126e,E_second.txt,4,4,0.0,0.5697374939918518,0.5697374939918518,0.0
14126e,N_second.txt,6,6,0.0,0.47164928913116455,0.47164928913116455,0.0
14126e,C_second.txt,6,6,0.0,0.6993083953857422,0.6993083953857422,0.0
72870n,E_second.txt,7,7,0.0,0.7297968864440918,0.7297968864440918,0.0
72870n,N_second.txt,6,4,0.33333333333333337,0.6994029879570007,0.6636008620262146,0.03580212593078613
72870n,C_second.txt,10,6,0.4,0.8368991613388062,0.8076825737953186,0.02921658754348755
114458e,E_second.txt,8,8,0.0,0.5232721567153931,0.5232721567153931,0.0
114458e,N_second.txt,5,5,0.0,0.5270930528640747,0.5270930528640747,0.0
114458e,C_second.txt,7,7,0.0,0.4096103012561798,0.4096103012561798,0.0
135021n,E_second.txt,8,8,0.0,0.5956607460975647,0.5956607460975647,0.0
135021n,N_second.txt,7,7,0.0,0.3683620095252991,0.3683620095252991,0.0
135021n,C_second.txt,8,8,0.0,0.642692506313324,0.642692506313324,0.0
124839c,E_second.txt,5,5,0.0,0.6837608218193054,0.6837608218193054,0.0
124839c,N_second.txt,5,5,0.0,0.5768058896064758,0.5768058896064758,0.0
124839c,C_second.txt,4,4,0.0,0.77787846326828,0.77787846326828,0.0
49462c,E_second.txt,3,2,0.33333333333333337,0.7615963816642761,0.7034810781478882,0.05811530351638794
49462c,N_second.txt,5,1,0.8,0.9248813390731812,0.0,0.9248813390731812
49462c,C_second.txt,3,3,0.0,0.6933730244636536,0.6933730244636536,0.0
54811c,E_second.txt,4,4,0.0,0.5968807935714722,0.5968807935714722,0.0
54811c,N_second.txt,4,4,0.0,0.766560971736908,0.766560971736908,0.0
54811c,C_second.txt,3,3,0.0,0.6885082125663757,0.6885082125663757,0.0
102563n,E_second.txt,5,5,0.0,0.5875483155250549,0.5875483155250549,0.0
102563n,N_second.txt,6,6,0.0,0.7347919344902039,0.7347919344902039,0.0
102563n,C_second.txt,6,6,0.0,0.5978425741195679,0.5978425741195679,0.0
58016c,E_second.txt,3,2,0.33333333333333337,0.8557343482971191,0.8236711025238037,0.03206324577331543
58016c,N_second.txt,7,7,0.0,0.486695796251297,0.486695796251297,0.0
58016c,C_second.txt,8,8,0.0,0.7005475759506226,0.7005475759506226,0.0
114492n,E_second.txt,4,4,0.0,0.7806081771850586,0.7806081771850586,0.0
114492n,N_second.txt,6,6,0.0,0.3257302939891815,0.3257302939891815,0.0
114492n,C_second.txt,5,5,0.0,0.5990513563156128,0.5990513563156128,0.0
6105e,E_second.txt,5,5,0.0,0.5179232358932495,0.5179232358932495,0.0
6105e,N_second.txt,5,5,0.0,0.6915677189826965,0.6915677189826965,0.0
6105e,C_second.txt,4,4,0.0,0.6619794368743896,0.6619794368743896,0.0
35700c,E_second.txt,3,3,0.0,0.5449166297912598,0.5449166297912598,0.0
35700c,N_second.txt,4,3,0.25,0.6344904899597168,0.5081217288970947,0.12636876106262207
35700c,C_second.txt,2,2,0.0,0.5455041527748108,0.5455041527748108,0.0
120323n,E_second.txt,4,4,0.0,0.7126455307006836,0.7126455307006836,0.0
120323n,N_second.txt,8,8,0.0,0.4395422339439392,0.4395422339439392,0.0
120323n,C_second.txt,8,8,0.0,0.5715161561965942,0.5715161561965942,0.0
96946n,E_second.txt,7,7,0.0,0.6180406212806702,0.6180406212806702,0.0
96946n,N_second.txt,5,5,0.0,0.5098204016685486,0.5098204016685486,0.0
96946n,C_second.txt,5,5,0.0,0.4070233702659607,0.4070233702659607,0.0
13911n,E_second.txt,6,6,0.0,0.6164527535438538,0.6164527535438538,0.0
13911n,N_second.txt,4,4,0.0,0.835000216960907,0.835000216960907,0.0
13911n,C_second.txt,5,3,0.4,0.8337417840957642,0.7926211953163147,0.04112058877944946
56163c,E_second.txt,4,4,0.0,0.761403501033783,0.761403501033783,0.0
56163c,N_second.txt,4,4,0.0,0.5608940720558167,0.5608940720558167,0.0
56163c,C_second.txt,7,7,0.0,0.5307588577270508,0.5307588577270508,0.0
57454c,E_second.txt,1,1,0.0,,,
57454c,N_second.txt,4,4,0.0,0.4535311460494995,0.4535311460494995,0.0
57454c,C_second.txt,4,4,0.0,0.6843386292457581,0.6843386292457581,0.0
125013e,E_second.txt,4,4,0.0,0.511252760887146,0.511252760887146,0.0
