folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
103431n,E_second.txt,5,5,0.0,0.5748728513717651,0.5748728513717651,0.0
103431n,N_second.txt,3,3,0.0,0.48989322781562805,0.48989322781562805,0.0
103431n,C_second.txt,3,3,0.0,0.3853055536746979,0.3853055536746979,0.0
77654e,E_second.txt,2,2,0.0,0.7137908935546875,0.7137908935546875,0.0
77654e,N_second.txt,3,3,0.0,0.3996469974517822,0.3996469974517822,0.0
77654e,C_second.txt,2,2,0.0,0.42512595653533936,0.42512595653533936,0.0
81356e,E_second.txt,2,2,0.0,0.41196417808532715,0.41196417808532715,0.0
81356e,N_second.txt,2,2,0.0,0.8089237809181213,0.8089237809181213,0.0
81356e,C_second.txt,2,2,0.0,0.603571891784668,0.603571891784668,0.0
52761e,E_second.txt,2,2,0.0,0.8231297731399536,0.8231297731399536,0.0
52761e,N_second.txt,3,3,0.0,0.5154843330383301,0.5154843330383301,0.0
52761e,C_second.txt,2,2,0.0,0.6845537424087524,0.6845537424087524,0.0
31249e,E_second.txt,3,3,0.0,0.7142894864082336,0.7142894864082336,0.0
31249e,N_second.txt,3,3,0.0,0.5492358207702637,0.5492358207702637,0.0
31249e,C_second.txt,2,2,0.0,0.7338383197784424,0.7338383197784424,0.0
84781c,E_second.txt,2,2,0.0,0.7554832696914673,0.7554832696914673,0.0
84781c,N_second.txt,3,3,0.0,0.8075477480888367,0.8075477480888367,0.0
84781c,C_second.txt,3,3,0.0,0.6506535410881042,0.6506535410881042,0.0
32754n,E_second.txt,3,3,0.0,0.6660031676292419,0.6660031676292419,0.0
32754n,N_second.txt,3,3,0.0,0.7685348391532898,0.7685348391532898,0.0
32754n,C_second.txt,2,2,0.0,0.7344640493392944,0.7344640493392944,0.0
14126e,E_second.txt,2,2,0.0,0.7222533226013184,0.7222533226013184,0.0
14126e,N_second.txt,3,3,0.0,0.5981413722038269,0.5981413722038269,0.0
14126e,C_second.txt,2,2,0.0,0.14418625831604004,0.14418625831604004,0.0
72870n,E_second.txt,3,3,0.0,0.7650084495544434,0.7650084495544434,0.0
72870n,N_second.txt,3,3,0.0,0.5459079146385193,0.5459079146385193,0.0
72870n,C_second.txt,3,3,0.0,0.7129430770874023,0.7129430770874023,0.0
114458e,E_second.txt,2,2,0.0,0.6425678730010986,0.6425678730010986,0.0
114458e,N_second.txt,3,2,0.33333333333333337,0.8407623767852783,0.8088104724884033,0.031951904296875
114458e,C_second.txt,3,3,0.0,0.7739372253417969,0.7739372253417969,0.0
135021n,E_second.txt,3,3,0.0,0.7917502522468567,0.7917502522468567,0.0
135021n,N_second.txt,2,2,0.0,0.6554622650146484,0.6554622650146484,0.0
135021n,C_second.txt,2,2,0.0,0.3668555021286011,0.3668555021286011,0.0
124839c,E_second.txt,2,2,0.0,0.7590368986129761,0.7590368986129761,0.0
124839c,N_second.txt,3,3,0.0,0.699874222278595,0.699874222278595,0.0
124839c,C_second.txt,3,3,0.0,0.5171155333518982,0.5171155333518982,0.0
49462c,E_second.txt,2,2,0.0,0.5511064529418945,0.5511064529418945,0.0
49462c,N_second.txt,3,3,0.0,0.6541488766670227,0.6541488766670227,0.0
49462c,C_second.txt,2,2,0.0,0.8772178888320923,0.8772178888320923,0.0
54811c,E_second.txt,2,2,0.0,0.5625340938568115,0.5625340938568115,0.0
54811c,N_second.txt,3,3,0.0,0.6857102513313293,0.6857102513313293,0.0
54811c,C_second.txt,2,2,0.0,0.5548216104507446,0.5548216104507446,0.0
102563n,E_second.txt,3,3,0.0,0.6420709490776062,0.6420709490776062,0.0
102563n,N_second.txt,3,3,0.0,0.5553100109100342,0.5553100109100342,0.0
102563n,C_second.txt,3,3,0.0,0.550346314907074,0.550346314907074,0.0
58016c,E_second.txt,4,4,0.0,0.5339112877845764,0.5339112877845764,0.0
58016c,N_second.txt,3,3,0.0,0.6150203943252563,0.6150203943252563,0.0
58016c,C_second.txt,3,3,0.0,0.4908532202243805,0.4908532202243805,0.0
114492n,E_second.txt,3,3,0.0,0.7523462176322937,0.7523462176322937,0.0
114492n,N_second.txt,4,4,0.0,0.3637601137161255,0.3637601137161255,0.0
114492n,C_second.txt,3,3,0.0,0.6574413776397705,0.6574413776397705,0.0
6105e,E_second.txt,3,3,0.0,0.769273579120636,0.769273579120636,0.0
6105e,N_second.txt,3,3,0.0,0.6191244721412659,0.6191244721412659,0.0
6105e,C_second.txt,2,2,0.0,0.7327741384506226,0.7327741384506226,0.0
35700c,E_second.txt,3,3,0.0,0.5986124873161316,0.5986124873161316,0.0
35700c,N_second.txt,3,3,0.0,0.43559154868125916,0.43559154868125916,0.0
35700c,C_second.txt,3,3,0.0,0.47795259952545166,0.47795259952545166,0.0
120323n,E_second.txt,3,3,0.0,0.7749394774436951,0.7749394774436951,0.0
120323n,N_second.txt,3,3,0.0,0.5251792073249817,0.5251792073249817,0.0
120323n,C_second.txt,2,2,0.0,0.7429637908935547,0.7429637908935547,0.0
96946n,E_second.txt,3,3,0.0,0.660738468170166,0.660738468170166,0.0
96946n,N_second.txt,3,3,0.0,0.5724624991416931,0.5724624991416931,0.0
96946n,C_second.txt,2,2,0.0,0.6325429677963257,0.6325429677963257,0.0
13911n,E_second.txt,2,2,0.0,0.8648519515991211,0.8648519515991211,0.0
13911n,N_second.txt,3,3,0.0,0.6927464604377747,0.6927464604377747,0.0
13911n,C_second.txt,3,3,0.0,0.5764877200126648,0.5764877200126648,0.0
56163c,E_second.txt,2,2,0.0,0.6772794723510742,0.6772794723510742,0.0
56163c,N_second.txt,3,3,0.0,0.6021061539649963,0.6021061539649963,0.0
56163c,C_second.txt,2,2,0.0,0.7775846719741821,0.7775846719741821,0.0
57454c,E_second.txt,3,3,0.0,0.7000266909599304,0.7000266909599304,0.0
57454c,N_second.txt,3,3,0.0,0.5725113749504089,0.5725113749504089,0.0
57454c,C_second.txt,3,3,0.0,0.5549647808074951,0.5549647808074951,0.0
125013e,E_second.txt,2,2,0.0,0.6346611976623535,0.6346611976623535,0.0
125013e,N_second.txt,3,3,0.0,0.7511374354362488,0.7511374354362488,0.0
125013e,C_second.txt,2,2,0.0,0.8563458919525146,0.8563458919525146,0.0
58357c,E_second.txt,3,3,0.0,0.23284132778644562,0.23284132778644562,0.0
58357c,N_second.txt,3,3,0.0,0.4746793210506439,0.4746793210506439,0.0
58357c,C_second.txt,3,3,0.0,0.6319746375083923,0.6319746375083923,0.0
16494c,E_second.txt,2,2,0.0,0.5849534273147583,0.5849534273147583,0.0
16494c,N_second.txt,3,3,0.0,0.5112521052360535,0.5112521052360535,0.0
16494c,C_second.txt,3,3,0.0,0.6214413046836853,0.6214413046836853,0.0
77116e,E_second.txt,2,2,0.0,0.8378849029541016,0.8378849029541016,0.0
77116e,N_second.txt,3,3,0.0,0.3931342661380768,0.3931342661380768,0.0
77116e,C_second.txt,2,2,0.0,0.4665648937225342,0.4665648937225342,0.0
104805e,E_second.txt,2,2,0.0,0.8245404958724976,0.8245404958724976,0.0
104805e,N_second.txt,3,3,0.0,0.4945153295993805,0.4945153295993805,0.0
104805e,C_second.txt,2,2,0.0,0.5259203910827637,0.5259203910827637,0.0
53866e,E_second.txt,3,3,0.0,0.2969953119754791,0.2969953119754791,0.0
53866e,N_second.txt,1,1,0.0,,,
53866e,C_second.txt,1,1,0.0,,,
26372n,E_second.txt,3,3,0.0,0.8251994252204895,0.8251994252204895,0.0
26372n,N_second.txt,2,2,0.0,0.5569156408309937,0.5569156408309937,0.0
26372n,C_second.txt,2,2,0.0,0.4802212715148926,0.4802212715148926,0.0
13387e,E_second.txt,3,3,0.0,0.600950300693512,0.600950300693512,0.0
13387e,N_second.txt,3,3,0.0,0.5344367027282715,0.5344367027282715,0.0
13387e,C_second.txt,2,2,0.0,0.7836437225341797,0.7836437225341797,0.0
63218n,E_second.txt,3,3,0.0,0.565202534198761,0.565202534198761,0.0
63218n,N_second.txt,3,3,0.0,0.660572350025177,0.660572350025177,0.0
63218n,C_second.txt,2,2,0.0,0.42277991771698,0.42277991771698,0.0
54458n,E_second.txt,2,2,0.0,0.743985652923584,0.743985652923584,0.0
