folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
103431n,E_second.txt,5,5,0.0,0.6002874374389648,0.6002874374389648,0.0
103431n,N_second.txt,5,5,0.0,0.41437309980392456,0.41437309980392456,0.0
103431n,C_second.txt,4,4,0.0,0.2999616861343384,0.2999616861343384,0.0
77654e,E_second.txt,1,1,0.0,,,
77654e,N_second.txt,4,4,0.0,0.3326484262943268,0.3326484262943268,0.0
77654e,C_second.txt,2,2,0.0,0.6313662528991699,0.6313662528991699,0.0
81356e,E_second.txt,2,2,0.0,0.6079797744750977,0.6079797744750977,0.0
81356e,N_second.txt,2,2,0.0,0.7829700112342834,0.7829700112342834,0.0
81356e,C_second.txt,2,2,0.0,0.4108372926712036,0.4108372926712036,0.0
52761e,E_second.txt,4,4,0.0,0.34007224440574646,0.34007224440574646,0.0
52761e,N_second.txt,3,3,0.0,0.4835699498653412,0.4835699498653412,0.0
52761e,C_second.txt,3,3,0.0,0.7803431153297424,0.7803431153297424,0.0
31249e,E_second.txt,4,4,0.0,0.544883668422699,0.544883668422699,0.0
31249e,N_second.txt,5,5,0.0,0.4646162986755371,0.4646162986755371,0.0
31249e,C_second.txt,5,5,0.0,0.48718762397766113,0.48718762397766113,0.0
84781c,E_second.txt,1,1,0.0,,,
84781c,N_second.txt,2,2,0.0,0.8034815788269043,0.8034815788269043,0.0
84781c,C_second.txt,3,3,0.0,0.5005039572715759,0.5005039572715759,0.0
32754n,E_second.txt,4,4,0.0,0.7108326554298401,0.7108326554298401,0.0
32754n,N_second.txt,2,2,0.0,0.47435808181762695,0.47435808181762695,0.0
32754n,C_second.txt,3,3,0.0,0.7356305718421936,0.7356305718421936,0.0
14126e,E_second.txt,2,2,0.0,0.6044229865074158,0.6044229865074158,0.0
14126e,N_second.txt,2,2,0.0,0.7510578036308289,0.7510578036308289,0.0
14126e,C_second.txt,2,2,0.0,0.6266826391220093,0.6266826391220093,0.0
72870n,E_second.txt,4,4,0.0,0.7761871218681335,0.7761871218681335,0.0
72870n,N_second.txt,4,4,0.0,0.39586421847343445,0.39586421847343445,0.0
72870n,C_second.txt,4,4,0.0,0.6979233622550964,0.6979233622550964,0.0
114458e,E_second.txt,3,3,0.0,0.4781549870967865,0.4781549870967865,0.0
114458e,N_second.txt,4,4,0.0,0.4818253219127655,0.4818253219127655,0.0
114458e,C_second.txt,4,4,0.0,0.39298883080482483,0.39298883080482483,0.0
135021n,E_second.txt,2,2,0.0,0.5377196073532104,0.5377196073532104,0.0
135021n,N_second.txt,3,3,0.0,0.5598655939102173,0.5598655939102173,0.0
135021n,C_second.txt,3,3,0.0,0.35157206654548645,0.35157206654548645,0.0
124839c,E_second.txt,3,3,0.0,0.5473464727401733,0.5473464727401733,0.0
124839c,N_second.txt,2,2,0.0,0.6347341537475586,0.6347341537475586,0.0
124839c,C_second.txt,4,4,0.0,0.5845984816551208,0.5845984816551208,0.0
49462c,E_second.txt,1,1,0.0,,,
49462c,N_second.txt,3,3,0.0,0.546100378036499,0.546100378036499,0.0
49462c,C_second.txt,3,3,0.0,0.4956146478652954,0.4956146478652954,0.0
54811c,E_second.txt,0,0,0.0,,,
54811c,N_second.txt,2,2,0.0,0.548804759979248,0.548804759979248,0.0
54811c,C_second.txt,2,2,0.0,0.5242843627929688,0.5242843627929688,0.0
102563n,E_second.txt,3,3,0.0,0.6463547348976135,0.6463547348976135,0.0
102563n,N_second.txt,4,4,0.0,0.5879665017127991,0.5879665017127991,0.0
102563n,C_second.txt,3,3,0.0,0.4203176498413086,0.4203176498413086,0.0
58016c,E_second.txt,0,0,0.0,,,
58016c,N_second.txt,2,2,0.0,0.6363266706466675,0.6363266706466675,0.0
58016c,C_second.txt,3,3,0.0,0.26619067788124084,0.26619067788124084,0.0
114492n,E_second.txt,3,3,0.0,0.5989772081375122,0.5989772081375122,0.0
114492n,N_second.txt,3,3,0.0,0.5038022994995117,0.5038022994995117,0.0
114492n,C_second.txt,2,2,0.0,0.716902494430542,0.716902494430542,0.0
6105e,E_second.txt,3,3,0.0,0.49392804503440857,0.49392804503440857,0.0
6105e,N_second.txt,3,3,0.0,0.5063230395317078,0.5063230395317078,0.0
6105e,C_second.txt,4,4,0.0,0.5940542817115784,0.5940542817115784,0.0
35700c,E_second.txt,0,0,0.0,,,
35700c,N_second.txt,4,4,0.0,0.3145642578601837,0.3145642578601837,0.0
35700c,C_second.txt,3,3,0.0,0.28284409642219543,0.28284409642219543,0.0
120323n,E_second.txt,2,2,0.0,0.760109007358551,0.760109007358551,0.0
120323n,N_second.txt,3,3,0.0,0.3633817136287689,0.3633817136287689,0.0
120323n,C_second.txt,2,2,0.0,0.31586986780166626,0.31586986780166626,0.0
96946n,E_second.txt,1,1,0.0,,,
96946n,N_second.txt,3,3,0.0,0.421021431684494,0.421021431684494,0.0
96946n,C_second.txt,3,3,0.0,0.29463234543800354,0.29463234543800354,0.0
13911n,E_second.txt,0,0,0.0,,,
13911n,N_second.txt,2,2,0.0,0.6430134773254395,0.6430134773254395,0.0
13911n,C_second.txt,3,3,0.0,0.5141980648040771,0.5141980648040771,0.0
56163c,E_second.txt,2,2,0.0,0.7114325761795044,0.7114325761795044,0.0
56163c,N_second.txt,3,3,0.0,0.3523772656917572,0.3523772656917572,0.0
56163c,C_second.txt,4,4,0.0,0.5036175847053528,0.5036175847053528,0.0
57454c,E_second.txt,1,1,0.0,,,
57454c,N_second.txt,1,1,0.0,,,
57454c,C_second.txt,2,2,0.0,0.5323938131332397,0.5323938131332397,0.0
125013e,E_second.txt,2,2,0.0,0.7397448420524597,0.7397448420524597,0.0
125013e,N_second.txt,2,2,0.0,0.3503763675689697,0.3503763675689697,0.0
125013e,C_second.txt,1,1,0.0,,,
58357c,E_second.txt,5,5,0.0,0.725679874420166,0.725679874420166,0.0
58357c,N_second.txt,2,2,0.0,0.6432154178619385,0.6432154178619385,0.0
58357c,C_second.txt,3,3,0.0,0.6990756392478943,0.6990756392478943,0.0
16494c,E_second.txt,0,0,0.0,,,
16494c,N_second.txt,3,3,0.0,0.6235877871513367,0.6235877871513367,0.0
16494c,C_second.txt,2,2,0.0,0.7936432361602783,0.7936432361602783,0.0
77116e,E_second.txt,1,1,0.0,,,
77116e,N_second.txt,3,3,0.0,0.7607572674751282,0.7607572674751282,0.0
77116e,C_second.txt,3,3,0.0,0.6524927020072937,0.6524927020072937,0.0
104805e,E_second.txt,5,5,0.0,0.41926831007003784,0.41926831007003784,0.0
104805e,N_second.txt,3,2,0.33333333333333337,0.9107100963592529,0.8737537860870361,0.0369563102722168
104805e,C_second.txt,2,2,0.0,0.7196190357208252,0.7196190357208252,0.0
53866e,E_second.txt,4,4,0.0,0.20386983454227448,0.20386983454227448,0.0
53866e,N_second.txt,3,3,0.0,0.7652389407157898,0.7652389407157898,0.0
53866e,C_second.txt,3,3,0.0,0.4827597439289093,0.4827597439289093,0.0
26372n,E_second.txt,4,4,0.0,0.25985756516456604,0.25985756516456604,0.0
26372n,N_second.txt,2,2,0.0,0.6543633937835693,0.6543633937835693,0.0
26372n,C_second.txt,1,1,0.0,,,
13387e,E_second.txt,1,1,0.0,,,
13387e,N_second.txt,2,2,0.0,0.3895909786224365,0.3895909786224365,0.0
13387e,C_second.txt,2,2,0.0,0.8496440052986145,0.8496440052986145,0.0
63218n,E_second.txt,4,4,0.0,0.3971637487411499,0.3971637487411499,0.0
63218n,N_second.txt,2,2,0.0,0.7342653274536133,0.7342653274536133,0.0
63218n,C_second.txt,3,3,0.0,0.46930161118507385,0.46930161118507385,0.0
54458n,E_second.txt,3,3,0.0,0.4599052965641022,0.4599052965641022,0.0
54458n,N_second.txt,3,3,0.0,0.3312452733516693,0.3312452733516693,0.0
54458n,C_second.txt,2,2,0.0,0.8962807059288025,0.8962807059288025,0.0
15100e,E_second.txt,3,3,0.0,0.4403684139251709,0.4403684139251709,0.0
15100e,N_second.txt,2,2,0.0,0.5357255935668945,0.5357255935668945,0.0
15100e,C_second.txt,2,2,0.0,0.3287210464477539,0.3287210464477539,0.0
19c,E_second.txt,1,1,0.0,,,
19c,N_second.txt,3,3,0.0,0.40186628699302673,0.40186628699302673,0.0
19c,C_second.txt,3,3,0.0,0.5340778231620789,0.5340778231620789,0.0
52171c,E_second.txt,0,0,0.0,,,
52171c,N_second.txt,2,2,0.0,0.4804410934448242,0.4804410934448242,0.0
52171c,C_second.txt,2,2,0.0,0.5256810188293457,0.5256810188293457,0.0
101525c,E_second.txt,3,3,0.0,0.678371250629425,0.678371250629425,0.0
101525c,N_second.txt,3,3,0.0,0.5866531729698181,0.5866531729698181,0.0
101525c,C_second.txt,2,2,0.0,0.5325905084609985,0.5325905084609985,0.0
