folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
103431n,E_second.txt,3,3,0.0,0.6094539761543274,0.6094539761543274,0.0
103431n,N_second.txt,3,3,0.0,0.3767143487930298,0.3767143487930298,0.0
103431n,C_second.txt,3,3,0.0,0.5647165179252625,0.5647165179252625,0.0
77654e,E_second.txt,2,2,0.0,0.8507238626480103,0.8507238626480103,0.0
77654e,N_second.txt,2,2,0.0,0.33940815925598145,0.33940815925598145,0.0
77654e,C_second.txt,0,0,0.0,,,
81356e,E_second.txt,2,2,0.0,0.8305981159210205,0.8305981159210205,0.0
81356e,N_second.txt,2,2,0.0,0.6836211681365967,0.6836211681365967,0.0
81356e,C_second.txt,1,1,0.0,,,
52761e,E_second.txt,2,2,0.0,0.8569780588150024,0.8569780588150024,0.0
52761e,N_second.txt,2,2,0.0,0.21821200847625732,0.21821200847625732,0.0
52761e,C_second.txt,2,2,0.0,0.21997535228729248,0.21997535228729248,0.0
31249e,E_second.txt,2,2,0.0,0.4445650577545166,0.4445650577545166,0.0
31249e,N_second.txt,3,3,0.0,0.6330792903900146,0.6330792903900146,0.0
31249e,C_second.txt,1,1,0.0,,,
84781c,E_second.txt,0,0,0.0,,,
84781c,N_second.txt,2,2,0.0,0.8051314353942871,0.8051314353942871,0.0
84781c,C_second.txt,3,3,0.0,0.705740749835968,0.705740749835968,0.0
32754n,E_second.txt,3,3,0.0,0.6843981742858887,0.6843981742858887,0.0
32754n,N_second.txt,3,3,0.0,0.734476625919342,0.734476625919342,0.0
32754n,C_second.txt,1,1,0.0,,,
14126e,E_second.txt,2,2,0.0,0.6699024438858032,0.6699024438858032,0.0
14126e,N_second.txt,2,2,0.0,0.7649043798446655,0.7649043798446655,0.0
14126e,C_second.txt,1,1,0.0,,,
72870n,E_second.txt,0,0,0.0,,,
72870n,N_second.txt,3,3,0.0,0.6560490727424622,0.6560490727424622,0.0
72870n,C_second.txt,3,3,0.0,0.5088058710098267,0.5088058710098267,0.0
114458e,E_second.txt,1,1,0.0,,,
114458e,N_second.txt,2,2,0.0,0.5101518630981445,0.5101518630981445,0.0
114458e,C_second.txt,2,1,0.5,0.904611349105835,0.0,0.904611349105835
135021n,E_second.txt,2,2,0.0,0.15989041328430176,0.15989041328430176,0.0
135021n,N_second.txt,2,2,0.0,0.645240306854248,0.645240306854248,0.0
135021n,C_second.txt,2,2,0.0,0.40689682960510254,0.40689682960510254,0.0
124839c,E_second.txt,2,2,0.0,0.6419103145599365,0.6419103145599365,0.0
124839c,N_second.txt,2,2,0.0,0.5192670822143555,0.5192670822143555,0.0
124839c,C_second.txt,3,3,0.0,0.6139022707939148,0.6139022707939148,0.0
49462c,E_second.txt,2,2,0.0,0.5525510311126709,0.5525510311126709,0.0
49462c,N_second.txt,2,2,0.0,0.8316028118133545,0.8316028118133545,0.0
49462c,C_second.txt,1,1,0.0,,,
54811c,E_second.txt,0,0,0.0,,,
54811c,N_second.txt,2,2,0.0,0.7637689113616943,0.7637689113616943,0.0
54811c,C_second.txt,2,2,0.0,0.6082791090011597,0.6082791090011597,0.0
102563n,E_second.txt,0,0,0.0,,,
102563n,N_second.txt,3,3,0.0,0.7176916003227234,0.7176916003227234,0.0
102563n,C_second.txt,3,3,0.0,0.6428011059761047,0.6428011059761047,0.0
58016c,E_second.txt,0,0,0.0,,,
58016c,N_second.txt,2,2,0.0,0.7393535375595093,0.7393535375595093,0.0
58016c,C_second.txt,2,2,0.0,0.2454012632369995,0.2454012632369995,0.0
114492n,E_second.txt,2,2,0.0,0.8131550550460815,0.8131550550460815,0.0
114492n,N_second.txt,3,3,0.0,0.5098956227302551,0.5098956227302551,0.0
114492n,C_second.txt,2,2,0.0,0.586764395236969,0.586764395236969,0.0
6105e,E_second.txt,3,3,0.0,0.5254239439964294,0.5254239439964294,0.0
6105e,N_second.txt,3,3,0.0,0.7611284255981445,0.7611284255981445,0.0
6105e,C_second.txt,2,2,0.0,0.8067816495895386,0.8067816495895386,0.0
35700c,E_second.txt,0,0,0.0,,,
35700c,N_second.txt,2,2,0.0,0.5463618040084839,0.5463618040084839,0.0
35700c,C_second.txt,2,2,0.0,0.6368655562400818,0.6368655562400818,0.0
120323n,E_second.txt,2,2,0.0,0.7385823726654053,0.7385823726654053,0.0
120323n,N_second.txt,3,3,0.0,0.5253613591194153,0.5253613591194153,0.0
120323n,C_second.txt,2,2,0.0,0.593021035194397,0.593021035194397,0.0
96946n,E_second.txt,1,1,0.0,,,
96946n,N_second.txt,2,2,0.0,0.5026019811630249,0.5026019811630249,0.0
96946n,C_second.txt,3,3,0.0,0.6156714558601379,0.6156714558601379,0.0
13911n,E_second.txt,0,0,0.0,,,
13911n,N_second.txt,2,2,0.0,0.6478124856948853,0.6478124856948853,0.0
13911n,C_second.txt,2,2,0.0,0.791273832321167,0.791273832321167,0.0
56163c,E_second.txt,0,0,0.0,,,
56163c,N_second.txt,5,5,0.0,0.45408734679222107,0.45408734679222107,0.0
56163c,C_second.txt,3,3,0.0,0.47867679595947266,0.47867679595947266,0.0
57454c,E_second.txt,0,0,0.0,,,
57454c,N_second.txt,3,3,0.0,0.4896204471588135,0.4896204471588135,0.0
57454c,C_second.txt,2,2,0.0,0.6454017162322998,0.6454017162322998,0.0
125013e,E_second.txt,1,1,0.0,,,
125013e,N_second.txt,3,3,0.0,0.3623823821544647,0.3623823821544647,0.0
125013e,C_second.txt,2,2,0.0,0.8260585069656372,0.8260585069656372,0.0
58357c,E_second.txt,1,1,0.0,,,
58357c,N_second.txt,3,3,0.0,0.4688195288181305,0.4688195288181305,0.0
58357c,C_second.txt,1,1,0.0,,,
16494c,E_second.txt,0,0,0.0,,,
16494c,N_second.txt,3,3,0.0,0.5820443034172058,0.5820443034172058,0.0
16494c,C_second.txt,1,1,0.0,,,
77116e,E_second.txt,1,1,0.0,,,
77116e,N_second.txt,2,2,0.0,0.6137176752090454,0.6137176752090454,0.0
77116e,C_second.txt,2,2,0.0,0.8762528896331787,0.8762528896331787,0.0
104805e,E_second.txt,3,3,0.0,0.5002531409263611,0.5002531409263611,0.0
104805e,N_second.txt,3,3,0.0,0.7532773017883301,0.7532773017883301,0.0
104805e,C_second.txt,2,2,0.0,0.7310407161712646,0.7310407161712646,0.0
53866e,E_second.txt,2,2,0.0,0.4955834150314331,0.4955834150314331,0.0
53866e,N_second.txt,4,4,0.0,0.3997310400009155,0.3997310400009155,0.0
53866e,C_second.txt,3,3,0.0,0.4474886357784271,0.4474886357784271,0.0
26372n,E_second.txt,1,1,0.0,,,
26372n,N_second.txt,1,1,0.0,,,
26372n,C_second.txt,1,1,0.0,,,
13387e,E_second.txt,1,1,0.0,,,
13387e,N_second.txt,3,3,0.0,0.7087323069572449,0.7087323069572449,0.0
13387e,C_second.txt,2,2,0.0,0.7322108745574951,0.7322108745574951,0.0
63218n,E_second.txt,2,2,0.0,0.46855998039245605,0.46855998039245605,0.0
63218n,N_second.txt,3,3,0.0,0.43682703375816345,0.43682703375816345,0.0
63218n,C_second.txt,3,3,0.0,0.6193004250526428,0.6193004250526428,0.0
54458n,E_second.txt,1,1,0.0,,,
54458n,N_second.txt,3,3,0.0,0.416606068611145,0.416606068611145,0.0
54458n,C_second.txt,3,3,0.0,0.6058456301689148,0.6058456301689148,0.0
15100e,E_second.txt,2,2,0.0,0.5177493095397949,0.5177493095397949,0.0
15100e,N_second.txt,2,2,0.0,0.7790970802307129,0.7790970802307129,0.0
15100e,C_second.txt,2,2,0.0,0.5501291751861572,0.5501291751861572,0.0
19c,E_second.txt,0,0,0.0,,,
19c,N_second.txt,2,2,0.0,0.5582287907600403,0.5582287907600403,0.0
19c,C_second.txt,3,3,0.0,0.5191987752914429,0.5191987752914429,0.0
52171c,E_second.txt,2,2,0.0,0.3621577024459839,0.3621577024459839,0.0
52171c,N_second.txt,2,2,0.0,0.7076961994171143,0.7076961994171143,0.0
52171c,C_second.txt,2,2,0.0,0.5290930867195129,0.5290930867195129,0.0
101525c,E_second.txt,0,0,0.0,,,
101525c,N_second.txt,3,3,0.0,0.7020173072814941,0.7020173072814941,0.0
101525c,C_second.txt,2,2,0.0,0.6545792818069458,0.6545792818069458,0.0
98561e,E_second.txt,2,2,0.0,0.6474016904830933,0.6474016904830933,0.0
98561e,N_second.txt,3,3,0.0,0.6763529181480408,0.6763529181480408,0.0
98561e,C_second.txt,0,0,0.0,,,
46650n,E_second.txt,1,1,0.0,,,
46650n,N_second.txt,3,3,0.0,0.7038803100585938,0.7038803100585938,0.0
46650n,C_second.txt,3,3,0.0,0.7155146598815918,0.7155146598815918,0.0
43891n,E_second.txt,0,0,0.0,,,
43891n,N_second.txt,3,3,0.0,0.2786788046360016,0.2786788046360016,0.0
43891n,C_second.txt,4,4,0.0,0.4942196309566498,0.4942196309566498,0.0
91650n,E_second.txt,3,3,0.0,0.38396868109703064,0.38396868109703064,0.0
91650n,N_second.txt,3,3,0.0,0.16473276913166046,0.16473276913166046,0.0
91650n,C_second.txt,1,1,0.0,,,
109278n,E_second.txt,2,2,0.0,0.7667971849441528,0.7667971849441528,0.0
109278n,N_second.txt,3,3,0.0,0.5630991458892822,0.5630991458892822,0.0
109278n,C_second.txt,2,2,0.0,0.7655830383300781,0.7655830383300781,0.0
103169n,E_second.txt,3,3,0.0,0.550341784954071,0.550341784954071,0.0
103169n,N_second.txt,3,3,0.0,0.4637416899204254,0.4637416899204254,0.0
103169n,C_second.txt,3,3,0.0,0.7863697409629822,0.7863697409629822,0.0
62238e,E_second.txt,2,2,0.0,0.540747880935669,0.540747880935669,0.0
62238e,N_second.txt,4,4,0.0,0.2726760804653168,0.2726760804653168,0.0
62238e,C_second.txt,4,4,0.0,0.5315580368041992,0.5315580368041992,0.0
46198c,E_second.txt,0,0,0.0,,,
46198c,N_second.txt,2,2,0.0,0.750325083732605,0.750325083732605,0.0
46198c,C_second.txt,2,2,0.0,0.5790994167327881,0.5790994167327881,0.0
142604e,E_second.txt,2,2,0.0,0.5891907215118408,0.5891907215118408,0.0
142604e,N_second.txt,2,2,0.0,0.6026339530944824,0.6026339530944824,0.0
142604e,C_second.txt,3,3,0.0,0.6581124663352966,0.6581124663352966,0.0
77590c,E_second.txt,2,2,0.0,0.4895145893096924,0.4895145893096924,0.0
77590c,N_second.txt,4,4,0.0,0.5233321189880371,0.5233321189880371,0.0
77590c,C_second.txt,2,2,0.0,0.5025407075881958,0.5025407075881958,0.0
83900e,E_second.txt,2,2,0.0,0.5701398253440857,0.5701398253440857,0.0
83900e,N_second.txt,3,3,0.0,0.6235719323158264,0.6235719323158264,0.0
83900e,C_second.txt,4,4,0.0,0.5556229948997498,0.5556229948997498,0.0
837n,E_second.txt,2,2,0.0,0.6698490381240845,0.6698490381240845,0.0
837n,N_second.txt,2,2,0.0,0.6665229797363281,0.6665229797363281,0.0
837n,C_second.txt,0,0,0.0,,,
16989c,E_second.txt,0,0,0.0,,,
16989c,N_second.txt,2,2,0.0,0.689720869064331,0.689720869064331,0.0
16989c,C_second.txt,4,4,0.0,0.6322208046913147,0.6322208046913147,0.0
23769n,E_second.txt,2,2,0.0,0.5683271884918213,0.5683271884918213,0.0
23769n,N_second.txt,2,2,0.0,0.5138406753540039,0.5138406753540039,0.0
23769n,C_second.txt,2,2,0.0,0.6013091802597046,0.6013091802597046,0.0
80109n,E_second.txt,0,0,0.0,,,
80109n,N_second.txt,2,2,0.0,0.536736249923706,0.536736249923706,0.0
80109n,C_second.txt,2,2,0.0,0.5256004333496094,0.5256004333496094,0.0
84781e,E_second.txt,3,3,0.0,0.6357739567756653,0.6357739567756653,0.0
84781e,N_second.txt,2,2,0.0,0.7493689060211182,0.7493689060211182,0.0
84781e,C_second.txt,2,2,0.0,0.5083397030830383,0.5083397030830383,0.0
118415n,E_second.txt,0,0,0.0,,,
118415n,N_second.txt,4,4,0.0,0.6275251507759094,0.6275251507759094,0.0
118415n,C_second.txt,4,4,0.0,0.4283633232116699,0.4283633232116699,0.0
72875e,E_second.txt,2,2,0.0,0.7791473865509033,0.7791473865509033,0.0
72875e,N_second.txt,2,2,0.0,0.7524702548980713,0.7524702548980713,0.0
72875e,C_second.txt,3,3,0.0,0.6173087954521179,0.6173087954521179,0.0
128160n,E_second.txt,3,3,0.0,0.292803555727005,0.292803555727005,0.0
128160n,N_second.txt,2,2,0.0,0.40790867805480957,0.40790867805480957,0.0
128160n,C_second.txt,2,2,0.0,0.617428183555603,0.617428183555603,0.0
46003n,E_second.txt,3,3,0.0,0.6715714335441589,0.6715714335441589,0.0
46003n,N_second.txt,4,4,0.0,0.5614699721336365,0.5614699721336365,0.0
46003n,C_second.txt,2,2,0.0,0.6704921722412109,0.6704921722412109,0.0
26495e,E_second.txt,1,1,0.0,,,
26495e,N_second.txt,3,3,0.0,0.6680805087089539,0.6680805087089539,0.0
26495e,C_second.txt,2,2,0.0,0.8076276779174805,0.8076276779174805,0.0
83247e,E_second.txt,3,3,0.0,0.493506520986557,0.493506520986557,0.0
83247e,N_second.txt,2,2,0.0,0.45833873748779297,0.45833873748779297,0.0
83247e,C_second.txt,2,2,0.0,0.16142261028289795,0.16142261028289795,0.0
122062n,E_second.txt,3,3,0.0,0.5997217297554016,0.5997217297554016,0.0
122062n,N_second.txt,2,2,0.0,0.6847845315933228,0.6847845315933228,0.0
122062n,C_second.txt,2,2,0.0,0.7855312824249268,0.7855312824249268,0.0
89995c,E_second.txt,0,0,0.0,,,
89995c,N_second.txt,2,2,0.0,0.808367908000946,0.808367908000946,0.0
89995c,C_second.txt,2,2,0.0,0.7950628995895386,0.7950628995895386,0.0
97926c,E_second.txt,2,2,0.0,0.3611724376678467,0.3611724376678467,0.0
97926c,N_second.txt,3,3,0.0,0.2960941791534424,0.2960941791534424,0.0
97926c,C_second.txt,2,2,0.0,0.7348194122314453,0.7348194122314453,0.0
49807n,E_second.txt,1,1,0.0,,,
49807n,N_second.txt,2,2,0.0,0.40722060203552246,0.40722060203552246,0.0
49807n,C_second.txt,2,2,0.0,0.5675032138824463,0.5675032138824463,0.0
95186n,E_second.txt,3,3,0.0,0.6718618869781494,0.6718618869781494,0.0
95186n,N_second.txt,2,2,0.0,0.47174835205078125,0.47174835205078125,0.0
95186n,C_second.txt,2,2,0.0,0.49299049377441406,0.49299049377441406,0.0
129601e,E_second.txt,2,2,0.0,0.2709689140319824,0.2709689140319824,0.0
129601e,N_second.txt,2,2,0.0,0.5232798457145691,0.5232798457145691,0.0
129601e,C_second.txt,0,0,0.0,,,
66225n,E_second.txt,2,2,0.0,0.7583096027374268,0.7583096027374268,0.0
66225n,N_second.txt,2,2,0.0,0.38486504554748535,0.38486504554748535,0.0
66225n,C_second.txt,3,3,0.0,0.5512359738349915,0.5512359738349915,0.0
97520e,E_second.txt,2,2,0.0,0.6607711315155029,0.6607711315155029,0.0
97520e,N_second.txt,2,2,0.0,0.7474732398986816,0.7474732398986816,0.0
97520e,C_second.txt,0,0,0.0,,,
37407n,E_second.txt,0,0,0.0,,,
37407n,N_second.txt,3,3,0.0,0.48862123489379883,0.48862123489379883,0.0
