model,mode,threshold,precision,recall,f1
LLaMA-8B,one-expl,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-8B,one-expl,0.1,0.5,1.0,0.6666666666666666
LLaMA-8B,one-expl,0.2,0.5,1.0,0.6666666666666666
LLaMA-8B,one-expl,0.3,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.4,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.5,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.6,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.7,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.8,0.5010046885465506,0.9986648865153538,0.6672613737734167
LLaMA-8B,one-expl,0.9,0.4877430262045646,0.7703604806408545,0.5973084886128365
LLaMA-8B,one-expl,1.0,0.5217391304347826,0.0160213618157543,0.0310880829015544
LLaMA-8B,one-llm,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-8B,one-llm,0.1,0.5092966855295069,0.8411214953271028,0.6344410876132931
LLaMA-8B,one-llm,0.2,0.5155440414507773,0.7970627503337784,0.6261143156790772
LLaMA-8B,one-llm,0.3,0.5111507582515611,0.7650200267022697,0.6128342245989303
LLaMA-8B,one-llm,0.4,0.5072332730560579,0.7489986648865153,0.6048517520215634
LLaMA-8B,one-llm,0.5,0.5014299332697807,0.7022696929238985,0.5850945494994438
LLaMA-8B,one-llm,0.6,0.50143815915628,0.69826435246996,0.5837053571428573
LLaMA-8B,one-llm,0.7,0.4919028340080971,0.6488651535380507,0.5595854922279793
LLaMA-8B,one-llm,0.8,0.4872340425531914,0.6114819759679573,0.542332741267022
LLaMA-8B,one-llm,0.9,0.4622991347342398,0.4993324432576769,0.4801026957637997
LLaMA-8B,one-llm,1.0,0.4868421052631579,0.0987983978638184,0.1642619311875693
LLaMA-8B,all-llm,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-8B,all-llm,0.1,0.5040128410914928,0.8384512683578104,0.6295739348370928
LLaMA-8B,all-llm,0.2,0.5157179269328802,0.8104138851802403,0.6303219106957424
LLaMA-8B,all-llm,0.3,0.5080357142857143,0.7596795727636849,0.6088817549491706
LLaMA-8B,all-llm,0.4,0.5054054054054054,0.7489986648865153,0.603550295857988
LLaMA-8B,all-llm,0.5,0.5037593984962406,0.7156208277703605,0.5912851627137342
LLaMA-8B,all-llm,0.6,0.5023786869647955,0.7049399198931909,0.5866666666666667
LLaMA-8B,all-llm,0.7,0.4924012158054711,0.6488651535380507,0.5599078341013826
LLaMA-8B,all-llm,0.8,0.4749733759318424,0.595460614152203,0.528436018957346
LLaMA-8B,all-llm,0.9,0.4444444444444444,0.4753004005340454,0.4593548387096774
LLaMA-8B,all-llm,1.0,0.4487179487179487,0.0467289719626168,0.0846432889963724
LLaMA-70B,one-expl,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-70B,one-expl,0.1,0.5064758009543285,0.9919893190921228,0.6705776173285198
LLaMA-70B,one-expl,0.2,0.5068212824010914,0.9919893190921228,0.670880361173815
LLaMA-70B,one-expl,0.3,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.4,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.5,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.6,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.7,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.8,0.5068399452804377,0.9893190921228304,0.6702849389416554
